platform,subject,bot,total,interactions,age,gender,gender-free-response,ethnicity,race,education,prev_complete
mturk,0045gif7edk9f2xf02awgem7,0,15.9,1,45,Female,,Not Hispanic or Latino,['White'],Bachelor degree,0
mturk,06ntcl2kvfi7bvkwh6jkfbim,0,12.62,1,29,Male,,Not Hispanic or Latino,['White'],Bachelor degree,0
mturk,0alf8i2e9cadaz5lo47eetnz,0,38.68,1,67,Male,,Not Hispanic or Latino,['White'],Bachelor degree,0
mturk,0hmxkgz0256twawpa08920xp,0,14.93,3,28,Male,,Not Hispanic or Latino,['White'],High school,0
mturk,0iqpc0511ptbmyjtk64u2bkm,0,16.97,1,47,Male,,Not Hispanic or Latino,['White'],Bachelor degree,0
mturk,0l0i5msatotpryxe9dcs8r5l,0,18.96,1,39,Female,,Not Hispanic or Latino,['White'],High school,0
mturk,0lt45tglu4s9134zggqigit7,0,17.53,1,29,Female,,Hispanic or Latino,['White'],Some college,0
mturk,0mi6uxcj88pskln4f8p4dkqm,0,17.93,1,45,Male,,Not Hispanic or Latino,['White'],Some college,0
mturk,0mto4pny0cqh8yhugrfq2f22,0,17.39,2,49,Male,,Not Hispanic or Latino,['White'],Bachelor degree,0
mturk,0nmy4z1w8nhd6repxq9g8o8x,0,19.2,41,23,Male,,Not Hispanic or Latino,['Black or African American'],High school,0
mturk,0p1csq1dz8ykxa27pjpyp3pa,0,19.7,3,58,Male,,Not Hispanic or Latino,['White'],Some college,0
mturk,0tjggx0jyun49pjtlwcgtrh9,1,16.72,10,33,Male,,Hispanic or Latino,['White'],Bachelor degree,0
mturk,0wfrmfgryj5nf97gih0ydlbh,0,25.59,1,35,Male,,Not Hispanic or Latino,['White'],High school,0
mturk,0x1rufmexx9ekx7grno16lgm,0,19.86,3,39,Female,,Not Hispanic or Latino,['White'],Bachelor degree,0
mturk,16qney8vyc6336wz3rvfost2,0,28.86,3,35,Female,,Not Hispanic or Latino,['White'],Bachelor degree,0
mturk,1dfxing7uzcljv31e32gw7bx,0,20.63,5,45,Male,,Not Hispanic or Latino,['White'],Some college,0
mturk,1hg66hcevxi5a0g3dg3u9ktf,0,20.21,3,26,Male,,Not Hispanic or Latino,['White'],Bachelor degree,0
mturk,1jcd8vwkfvisxjhdq01w91u6,0,21.53,1,70,Female,,Not Hispanic or Latino,['White'],High school,0
mturk,1ls815kvytlzmq5eu9oedcf9,0,21.81,4,38,Male,,Not Hispanic or Latino,['Black or African American'],Master degree or higher,0
mturk,1n1k403aasdmkz2mo30lf191,0,14.51,10,43,Female,,Not Hispanic or Latino,['Black or African American'],Master degree or higher,1
mturk,1o2ubz0hvr6m3vp7lovn2lsj,0,26.79,1,50,Female,,Not Hispanic or Latino,['White'],High school,0
mturk,1wjfmekjlpimwasxu0rgzo9g,0,19.08,1,32,Male,,Not Hispanic or Latino,['White'],Some college,0
mturk,1xag83k9pmul55titc0yn6b5,0,23.32,33,40,Male,,Hispanic or Latino,['White'],Some college,0
mturk,1yxwg14w52aubqggx5gdgwep,0,19.66,2,54,Male,,Not Hispanic or Latino,['White'],Bachelor degree,0
mturk,23roarl5lmi0mvinzpuf1set,0,15.06,3,38,Female,,Not Hispanic or Latino,['Asian'],Bachelor degree,0
mturk,26umv502g01h2zn7nv9vodj3,0,23.47,1,23,Female,,Not Hispanic or Latino,['White'],Some college,0
mturk,2afu43wgwak7ijursn68u4fd,0,16.87,1,37,Male,,Not Hispanic or Latino,['Asian'],Bachelor degree,0
