platform,subject,infreq_mania,infreq_depression,infreq_anxiety,infreq_artistic,infreq_greed,infreq,isd,reliability,mahalanobis,mania_rt,depression_rt,anxiety_rt,artistic_rt,greed_rt,survey_rt,side_var,choice_var,wsls,task_rt
mturk,0045gif7edk9f2xf02awgem7,0,0,0,0,0,0,1.632993161855452,0.975016868949872,3.35074420224158,4.871625,3.41725,1.634125,1.827142857142857,1.6618571428571427,13.412,0.01741293532338306,0.007462686567164201,0.393939393939394,0.01507537688442211
mturk,06ntcl2kvfi7bvkwh6jkfbim,1,1,1,0,0,3,4.563775746008765,0.8521033956151843,7.435956694769109,1.2525,1.463125,1.264,1.6048571428571428,3.4702857142857146,9.054767857142858,0.07213930348258701,0.06716417910447764,-0.01012323943661966,0.8869346733668342
mturk,0alf8i2e9cadaz5lo47eetnz,0,0,0,0,0,0,2.902680955150953,0.9686770266265649,4.345193239448017,38.92725,15.1845,7.8135,7.851,11.759428571428572,81.53567857142858,0.057213930348258724,0.04228855721393032,0.5089898989898992,0.0
mturk,0hmxkgz0256twawpa08920xp,0,0,0,0,1,1,1.8521691749071587,0.9897777823927733,3.4794739150464733,6.210625,4.93125,1.711375,2.095428571428571,1.8872857142857142,16.835964285714287,0.007462686567164201,0.03233830845771146,0.4678469678469678,0.17336683417085427
mturk,0iqpc0511ptbmyjtk64u2bkm,0,0,0,0,0,0,4.572930397233104,0.7392474870324054,5.002438369257086,4.54025,3.9155,2.3035,2.2235714285714283,2.6997142857142857,15.682535714285715,0.062189054726368154,0.027363184079602032,0.3888150609080842,0.0
mturk,0l0i5msatotpryxe9dcs8r5l,0,0,0,0,0,0,4.076548752841969,0.8396930060915854,5.914071489139196,5.424625,2.065875,2.87125,2.6215714285714284,3.3404285714285713,16.32375,0.022388059701492546,0.03233830845771146,0.43193345506187825,0.002512562814070352
mturk,0lt45tglu4s9134zggqigit7,0,0,0,0,0,0,2.3553668807211636,0.985161899184192,5.172839695787768,8.988,5.112875,2.0655,2.039,3.129,21.334375,0.03233830845771146,0.12189054726368159,0.1536674075570821,0.0
mturk,0mi6uxcj88pskln4f8p4dkqm,0,0,0,0,0,0,2.600990420428494,0.9663272222278264,3.3047296750952593,4.76475,2.65975,1.921375,3.130857142857143,3.302857142857143,15.779589285714284,0.11194029850746268,0.04228855721393032,0.21813576494427567,0.0
mturk,0mto4pny0cqh8yhugrfq2f22,0,0,0,0,0,0,3.0243029255728,0.9769679848464125,4.861577782627594,6.61125,4.48975,1.80225,2.383142857142857,2.8442857142857143,18.13067857142857,0.04726368159203975,0.03233830845771146,0.2766564729867485,0.0
mturk,0nmy4z1w8nhd6repxq9g8o8x,1,1,1,0,0,3,5.7445960802606235,0.8528574142676028,9.427596530007197,1.3705,1.09775,1.01175,2.8449999999999998,2.3997142857142855,8.724714285714285,0.18159203980099503,0.04228855721393032,0.22307536876136613,0.31155778894472363
mturk,0p1csq1dz8ykxa27pjpyp3pa,0,0,0,0,0,0,3.025352871489183,0.9484143509486499,4.01156917672846,7.719625,3.169875,2.279125,2.3737142857142857,3.545714285714286,19.08805357142857,0.05223880597014924,0.02238805970149249,0.47943498130452833,0.0
mturk,0wfrmfgryj5nf97gih0ydlbh,0,0,0,0,0,0,4.961130333376316,0.877800673468483,8.198706687195559,8.906875,3.98075,2.271625,17.163142857142855,3.338142857142857,35.660535714285714,0.04228855721393032,0.27611940298507465,0.09798887462558842,0.135678391959799
mturk,0x1rufmexx9ekx7grno16lgm,0,0,0,0,0,0,4.416507474750942,0.6438011719201118,6.331135689270977,7.339875,6.10675,2.57775,3.4819999999999998,2.6675714285714283,22.173946428571426,0.01243781094527363,0.13681592039800994,0.4945344129554654,0.0
mturk,16qney8vyc6336wz3rvfost2,1,1,0,0,0,2,2.942223188866721,0.9866404142073799,5.930737728596185,1.57625,1.624125,1.9,3.2277142857142858,1.6532857142857142,9.981374999999998,0.04228855721393032,0.04228855721393032,-0.034984520123839014,0.19095477386934673
mturk,1dfxing7uzcljv31e32gw7bx,0,0,0,0,0,0,3.6732041210209143,0.961315691409227,5.154594990703992,6.5815,3.6645,2.405375,2.662857142857143,2.6445714285714286,17.95880357142857,0.027363184079601977,0.14179104477611937,0.3264016309887871,0.0
mturk,1hg66hcevxi5a0g3dg3u9ktf,0,0,0,0,0,0,1.947816735642387,0.9893531935437028,3.940389459907868,7.84975,3.83725,1.971,1.999285714285714,3.710714285714286,19.368000000000002,0.03731343283582089,0.02238805970149249,0.2764356855265948,0.0
mturk,1jcd8vwkfvisxjhdq01w91u6,0,0,0,0,0,0,1.786653165672885,0.9801953391764547,3.1612001611832796,8.41625,4.388125,2.922875,2.9238571428571425,3.2265714285714284,21.87767857142857,0.31094527363184077,0.06716417910447764,0.39989648033126307,0.0
mturk,1ls815kvytlzmq5eu9oedcf9,0,1,1,0,0,2,4.4455093649189035,0.8318040358989321,7.8635259282406595,3.335875,5.066875,2.662125,1.8724285714285713,1.9268571428571428,14.864160714285713,0.2462686567164179,0.022388059701492546,0.04985841423948222,0.6482412060301508
mturk,1o2ubz0hvr6m3vp7lovn2lsj,0,0,0,0,0,0,3.001064389666757,0.9729477037125162,4.277023480060226,7.731875,7.15575,3.20275,3.6671428571428573,7.613285714285714,29.370803571428574,0.1616915422885572,0.12189054726368159,0.18265075118337087,0.0
mturk,1wjfmekjlpimwasxu0rgzo9g,0,0,0,0,0,0,2.8677186935294827,0.9735743795994036,5.973585349133034,7.0115,5.566375,2.700625,3.0294285714285714,4.792714285714285,23.100642857142855,0.027363184079601977,0.01243781094527363,0.5136559139784947,0.002512562814070352
mturk,1xag83k9pmul55titc0yn6b5,1,0,0,0,0,1,4.683804740693842,0.9476525378260441,7.112125994442874,2.131625,3.87625,2.4405,2.4908571428571427,2.5767142857142855,13.515946428571429,0.47512437810945274,0.02238805970149249,0.33524004085801823,0.1306532663316583
mturk,1yxwg14w52aubqggx5gdgwep,0,0,0,0,0,0,2.947322154478572,0.9658017465941402,4.247527630859253,6.9005,5.8415,3.61325,2.2377142857142855,3.043428571428571,21.63639285714286,0.08208955223880599,0.14179104477611937,0.3466220328667072,0.0
mturk,23roarl5lmi0mvinzpuf1set,0,0,0,0,0,0,3.771671330947462,0.9146458074822029,4.372153078270285,6.08875,4.372375,1.591875,1.8987142857142858,2.1054285714285714,16.057142857142857,0.01741293532338306,0.02238805970149249,0.4271580778430091,0.04773869346733668
mturk,26umv502g01h2zn7nv9vodj3,0,0,0,0,1,1,3.0414911909258224,0.9395634575807738,6.66460273642099,3.811875,6.576375,3.15575,2.226,1.8022857142857143,17.572285714285712,0.09203980099502485,0.0024875621890547706,0.18156028368794322,0.06532663316582915
mturk,2afu43wgwak7ijursn68u4fd,0,0,0,0,0,0,4.815015405888172,0.9069980484543109,6.772885766543429,3.850375,4.778,2.56325,3.4304285714285716,2.9854285714285713,17.607482142857144,0.007462686567164201,0.04228855721393032,0.33830391560154166,0.0
mturk,2d4fbu9ox76w3ifwsfdb0c2a,0,0,0,0,0,0,2.1479523457288456,0.983385178619738,5.065325263295368,10.579,6.654625,2.5995,2.7457142857142856,4.582,27.160839285714285,0.03233830845771146,0.08208955223880599,0.5175962132125954,0.20603015075376885
mturk,2f30zpz2mz0coozy0isyiz5k,0,0,0,0,0,0,3.425389815731711,0.9626480354219211,4.456995420463698,8.891625,5.436875,2.5805,2.3921428571428573,3.956285714285714,23.25742857142857,0.06716417910447758,0.12189054726368159,0.2696287279367013,0.0
mturk,2j8m8w6b2mj1mw6vz6mhtjv3,0,0,0,0,0,0,2.5767733429147697,0.9834857050815374,3.528237735275648,14.6975,8.6045,4.293,3.8882857142857143,3.5414285714285714,35.02471428571428,0.19651741293532343,0.01741293532338306,0.30291085506367516,0.0
mturk,2vyd0ohyce67zdz760klr57i,0,0,0,0,1,1,3.3721512102773,0.9633545887240739,5.201145610981467,7.434625,4.818375,2.28925,5.221428571428571,2.7854285714285716,22.549107142857142,0.22139303482587064,0.057213930348258724,0.42362093352192387,0.0
mturk,31n1hq2mauxgnxl0izmsnpmv,0,0,0,0,0,0,3.4914174360202783,0.9681989664045951,5.907012767008521,4.353625,4.248125,2.5035,1.8482857142857143,2.333142857142857,15.286678571428569,0.03233830845771146,0.062189054726368154,0.3208375893769156,0.002512562814070352
mturk,341ny9ov0p4kuggcmxp557cr,0,0,0,0,0,0,4.548053331195902,0.9345731886720364,8.17997118332505,6.30425,7.47825,3.290125,3.040857142857143,3.626142857142857,23.739624999999997,0.027363184079601977,0.01243781094527363,0.5739864169582227,0.07035175879396985
mturk,36b1389gkdwjz4a89l6pez8r,0,0,0,0,0,0,1.6990101781132634,0.9757270097985591,3.654394593900462,5.39225,4.40425,1.93725,2.3338571428571426,2.3617142857142857,16.42932142857143,0.06716417910447758,0.12686567164179102,0.306917324470295,0.0
mturk,3a6dyg66j65n70qr1pl9pjd5,0,0,0,0,0,0,1.855257731122788,0.9889985226702558,4.887703446280825,16.015625,7.467125,4.294875,2.865285714285714,2.291,32.933910714285716,0.01243781094527363,0.0920398009950249,0.17525879917184237,0.0
mturk,3brtagj6mceqw49h7u53tweo,0,0,0,0,0,0,2.2927749037431706,0.9672825755570817,4.437122314386285,7.294125,6.725875,2.86525,2.125142857142857,3.8114285714285714,22.82182142857143,0.03233830845771146,0.11194029850746268,0.3452380952380952,0.0
mturk,3cc0axr3z0cygaht0v3yo50s,0,0,0,0,0,0,3.716560456133785,0.9565127996500679,4.680781679770354,2.7795,3.100625,1.5635,3.1791428571428573,2.4052857142857142,13.02805357142857,0.04228855721393032,0.08706467661691542,0.38958120531154233,0.0
mturk,3yo7g2nyb1apz1cidqqezdz3,1,0,1,0,0,2,1.0690449676496976,0.9959053948394981,6.557240419577873,2.940875,5.251625,1.900125,5.359428571428571,3.979714285714286,19.431767857142855,0.07711442786069655,0.027363184079601977,0.2219640331380076,0.30904522613065327
mturk,41ru6wihpstz8ayui2dvfl3n,0,0,0,0,0,0,3.0720524088438967,0.853083864081009,5.422788023816266,3.7225,3.257375,2.812625,2.498,3.3614285714285717,15.651928571428574,0.03233830845771146,0.18656716417910446,0.2151809177279161,0.01507537688442211
mturk,48merez0zsw5pv6n5hyuipoi,0,0,0,0,0,0,5.678017937872945,0.8747652266155788,8.156482617602911,5.359625,5.713375,2.37425,2.596,2.7734285714285716,18.81667857142857,0.007462686567164201,0.12189054726368154,0.29035194174757306,0.26884422110552764
mturk,4ba3uiyk5if6c05wgzs1ouk0,0,0,0,0,0,0,4.414669384436608,0.6240186413135083,7.655947621961713,5.28075,3.282625,2.3065,2.1037142857142856,2.025571428571429,14.999160714285715,0.23631840796019898,0.04726368159203981,0.39438043258540545,0.23366834170854273
mturk,4damne6idlvok1helaxjwf9i,0,0,0,0,0,0,3.90439971755925,0.9345723664722484,5.765231054003305,5.432625,7.747125,4.012125,3.0294285714285714,3.684,23.905303571428572,0.24129353233830847,0.04726368159203981,0.23239436619718282,0.07035175879396985
mturk,4mjnvu0ajydrlp4uvxpkmvjq,0,0,0,0,0,0,1.781308843561674,0.9813434123835624,3.5507087606007963,5.593,4.1615,3.018,2.0685714285714285,2.9411428571428573,17.782214285714286,0.007462686567164201,0.02238805970149249,0.4241590214067281,0.0
mturk,4udxqmvw1zv6yoqtr3a2l10a,0,0,0,0,0,0,0.0,0.9999999999999999,2.9342614709477064,4.43525,4.124375,1.834375,1.9822857142857142,2.5384285714285713,14.914714285714286,0.03233830845771146,0.44029850746268656,0.36468446601941784,0.002512562814070352
mturk,53ozqolox83l00y3ie9d8lcj,0,0,0,0,0,0,2.3490385075318145,0.8937519497753342,6.413206796829494,4.460375,5.192625,2.49625,2.666571428571429,2.126142857142857,16.941964285714285,0.03233830845771146,0.1616915422885572,0.39567510548523177,0.0
mturk,53teasevio3ayklsi6z5hy3t,0,0,0,0,1,1,2.875036069913593,0.9764719309544245,7.272840287073872,3.082,2.970375,3.344625,1.7865714285714287,2.326,13.50957142857143,0.10199004975124376,0.002487562189054715,0.32502532928064837,0.03768844221105527
mturk,541udcdxb1s3ttpkgrz54sh4,0,0,0,0,0,0,4.681263205761512,0.7261951088248104,6.900132141760513,4.553625,2.267625,2.58575,2.1275714285714287,5.217428571428571,16.752,0.007462686567164201,0.07213930348258707,0.410112359550562,0.0
mturk,5b6xqwr3z4t2z1y3sm1u60km,0,0,0,0,0,0,0.5163977794943222,0.9976642858239638,2.8609457109526915,3.40925,2.345,1.418,1.5915714285714286,1.5295714285714286,10.293392857142857,0.3805970149253731,0.02238805970149249,0.345266990291262,0.4824120603015075
mturk,5jukimd941zqcryswb1skzpx,1,1,1,0,0,3,2.4350686267315678,0.980993909275071,5.151124756160984,2.125625,2.008875,1.51175,2.442285714285714,3.0547142857142857,11.143250000000002,0.17164179104477612,0.0024875621890547706,0.07228017883755573,0.7135678391959799
mturk,647ruylfxseijknnr8bbm5f2,0,0,0,0,0,0,2.4751740770775896,0.9642758896628106,3.669318211292416,8.979375,10.004625,2.975375,2.7905714285714285,4.241714285714286,28.991660714285715,0.052238805970149294,0.08208955223880599,0.2594185094185093,0.002512562814070352
mturk,6f5rr3zly2ul5t110l5b7xk6,0,0,0,0,0,0,2.8132695427868715,0.9689982924935984,5.367035138601098,3.46525,2.955125,2.0375,1.4152857142857143,2.636142857142857,12.509303571428571,0.01741293532338306,0.03233830845771146,0.05462184873949572,0.44221105527638194
mturk,6myrp1y7m42waecwz2iz8d9z,0,0,0,0,0,0,2.8698581519869375,0.9782261456463691,5.103967511002602,5.994375,4.70775,1.650875,2.5581428571428573,3.2137142857142855,18.12485714285714,0.03233830845771146,0.07213930348258701,0.1694623655913978,0.1507537688442211
mturk,6wrgg0eq7yluo0pm8rgljl2t,1,0,0,0,0,1,3.2176092413354973,0.9593719061131272,5.819813179431386,4.820125,5.187375,2.128375,2.095428571428571,4.458857142857143,18.690160714285717,0.027363184079602032,0.06716417910447758,0.264932954083706,0.40703517587939697
mturk,6x6ewrf60bie2thzzq2gmfmu,1,0,1,0,0,2,5.347772421143548,0.9021382370039029,9.2695506215211,5.7165,11.451875,4.742125,8.795142857142858,5.692285714285714,36.39792857142857,0.062189054726368154,0.06716417910447758,0.10902103559870556,0.10050251256281408
mturk,78p39d3i2kp72ux5yyxn1bte,0,0,0,0,0,0,3.064549116940505,0.985898347305719,4.924561560959375,10.517125,4.766,2.6155,3.144142857142857,3.251428571428572,24.29419642857143,0.03233830845771146,0.03731343283582089,0.47251970094968665,0.002512562814070352
mturk,7azgmo2rh8l9h3appuq8k0o9,0,0,0,0,0,0,2.6536296077199872,0.9761324604287899,4.042365033398578,18.4305,5.917875,3.55225,5.741714285714286,4.078142857142857,37.72048214285714,0.04228855721393032,0.14179104477611937,0.2513677811550151,0.0
mturk,7b2sclga9stlmjzmklna3ozk,0,0,0,0,0,0,4.28992692770113,0.9224790299402562,7.604450255541334,4.411125,5.022125,1.975375,4.057571428571428,2.164142857142857,17.630339285714285,0.022388059701492546,0.04228855721393032,0.330668016194332,0.0
mturk,7jt8n4iselziw5v041bfl58t,0,0,0,0,0,0,0.0,1.0,3.047236931060086,6.475625,3.75175,1.532375,2.8581428571428575,2.559285714285714,17.17717857142857,0.007462686567164201,0.08208955223880599,0.44117647058823534,0.0
