platform,subject,accuracy,points,ws,ls,perseveration,beta,eta_p,eta_n,kappa
mturk,02rwq76tp9lcye8vrl41llnh,0.3888888888888889,38.0,0.7297297297297297,0.8076923076923077,0.28,2.804795,0.8349439999999999,0.9575445,-0.06839681258764009
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,0.7666666666666667,68.0,0.9552238805970149,0.9545454545454546,0.14666666666666667,7.4837299999999995,0.508517,0.963607,-0.30913836062722977
mturk,0g4fx9g2wryeio74yzgqwpq8,0.7222222222222222,58.0,1.0,0.625,0.24,12.63825,0.8068,0.833412,-0.01622473192489756
mturk,0k1tzkzdb7dvx6z9q0nyovde,0.6555555555555556,51.0,1.0,0.3846153846153846,0.2,12.01845,0.9284815,0.4569765,0.34032428265598813
mturk,0lq9i4x81dgnwglgvgnh34rj,0.6666666666666666,57.0,0.9824561403508771,0.46875,0.25333333333333335,10.1088,0.624225,0.33845749999999997,0.2968450138025778
mturk,0piu71owxiz9tgsitq7ktqh6,0.5888888888888889,54.0,0.9811320754716981,1.0,0.24,5.4519649999999995,0.902129,0.9737155,-0.0381622783764859
mturk,19h68mzzzd51m1ysm4jbmlml,0.6444444444444445,54.0,0.9433962264150944,0.8611111111111112,0.2,3.22464,0.9290865,0.940508,-0.00610907873338308
mturk,1bkivj7fl2s7bnshyc0xs9xo,0.6555555555555556,59.0,0.9827586206896551,0.8387096774193549,0.21333333333333335,5.62675,0.4308015,0.9527135,-0.3772362424693624
mturk,1dhmst23cwb07eov3r1qc7i1,0.4444444444444444,42.0,0.3170731707317073,1.0,0.29333333333333333,0.9909414999999999,0.7844725,0.7389920000000001,0.029853337573668384
mturk,1emkh8fj8n8ujo3jfrrswpna,0.6222222222222222,52.0,1.0,0.7894736842105263,0.16,4.91724,0.9156615,0.9768399999999999,-0.03232679075815788
mturk,1gzcp8taimbcpvzulsjo6w7a,0.6444444444444445,61.0,0.9,0.9310344827586207,0.25333333333333335,3.3704850000000004,0.8464725,0.8434205,0.0018060315061367456
mturk,1h67fnjgm45dzniy6y91vld7,0.7333333333333333,52.0,0.9607843137254902,0.5789473684210527,0.14666666666666667,8.240504999999999,0.40014099999999997,0.7664595000000001,-0.31400509428891904
mturk,1ujw1gehpdx2ufvvvly3gx69,0.7222222222222222,54.0,1.0,0.25,0.17333333333333334,11.7174,0.930285,0.4098555,0.3883395061935671
mturk,1ww0gs6eyl6uksonzztb0ezu,0.5333333333333333,53.0,0.9423076923076923,0.4054054054054054,0.3333333333333333,2.738185,0.9636640000000001,0.9563174999999999,0.003826338951703516
mturk,26drsd0sb4o6mw8hh3db4y8y,0.6555555555555556,53.0,0.9811320754716981,0.9166666666666666,0.22666666666666666,8.286675,0.5906975,0.9619555,-0.23911202309852878
mturk,2gbv6cbysitn0o9t9m53f3xi,0.6111111111111112,47.0,1.0,0.2790697674418605,0.29333333333333333,9.81561,0.8670185,0.403324,0.3650153403511258
mturk,2l792wi6dr04cwnd2lxldsg3,0.5333333333333333,52.0,1.0,0.26315789473684215,0.4,16.2059,0.871705,0.665119,0.13442398088525423
mturk,2n2791gfw1ojwu32i7nsvght,0.5222222222222223,53.0,1.0,0.5277777777777778,0.29333333333333333,10.807500000000001,0.78552,0.9798755,-0.11009176130787691
mturk,2tbdv5xl54zpvqubll7hx9xl,0.5444444444444444,44.0,0.8372093023255814,0.8913043478260869,0.2,2.42822,0.9439310000000001,0.937771,0.003273632062887776
mturk,381z8zb2qt43qj83bpagb37k,0.6,50.0,0.8163265306122449,0.95,0.21333333333333335,2.75434,0.7673355,0.918481,-0.08965714833138722
mturk,3h1i9f440aazwely8ptjns7x,0.7666666666666667,50.0,1.0,0.5641025641025641,0.17333333333333334,7.841005,0.950302,0.543965,0.2719306522863718
mturk,3h34cgrzlp4wtlx1eo4tv73k,0.6111111111111112,46.0,0.9777777777777777,0.8636363636363636,0.22666666666666666,5.3245249999999995,0.7328995,0.9385384999999999,-0.12303118631980361
