platform,subject,gad7-infreq,7u7d-infreq,bisbas-infreq,shaps-infreq,infreq,infreq-any,entropy,reliability,mahalanobis,gad7-rt,7u7d-rt,bisbas-rt,shaps-rt,reading,n_loops,accuracy,wsls,rt
prolific,02hfkd0x4jtnoiwsds69adoq,0,0,0,0,0,0,5.376486389306729,0.17048462301587314,8.033340797421078,False,False,False,False,0,1,0.6777777777777778,0.030555555555555454,0.03333333333333333
prolific,0do1x8qmwi6ok206agh1xqwb,0,1,0,1,2,1,2.3630926770350524,0.05583779761904777,6.462031176827253,False,True,False,False,1,1,0.6444444444444445,0.606060606060606,0.13333333333333333
prolific,0imgqq6qokryvins8vmkeh7v,0,0,0,0,0,0,5.7741778900584775,0.155297371031746,7.1923089868640915,False,False,False,False,0,1,0.5666666666666667,0.854358974358974,0.15555555555555556
prolific,0kw0yjeyfmbqohivbcjol0y4,0,0,0,0,0,0,7.0667870151533485,0.16793179563492036,9.933782198387272,False,False,False,False,0,1,0.5777777777777777,0.6548717948717947,0.044444444444444446
prolific,0tztck6s2pmdsciuznilgj90,0,1,1,0,2,1,7.684670863844442,0.19859672619047616,10.02970607469114,False,False,False,False,0,1,0.5333333333333333,0.6076845298281088,0.5666666666666667
prolific,0vl2swi8jsl18qhae18l9lfn,0,0,0,0,0,0,4.3253323743873135,0.1066646825396828,6.053478089140011,False,False,False,False,0,1,0.7333333333333333,0.6216216216216217,0.022222222222222223
prolific,12c8bstpywx1b84b0gh2tof4,0,0,0,0,0,0,7.873201876188034,0.19743625992063488,8.647082447050431,False,False,False,False,0,2,0.6,0.5829120323559154,0.044444444444444446
prolific,1i545xikf02ck7ekr6psckaq,0,0,0,0,0,0,2.128912762291693,0.07197222222222244,6.58833028259017,False,False,False,False,0,1,0.5222222222222223,0.579140461215933,0.4777777777777778
prolific,1id28gbzeshkr8a3rjqtu7gm,0,1,0,0,1,1,6.874206622907746,0.17709598214285718,9.253198708357464,False,False,False,False,0,2,0.5777777777777777,0.7536382536382537,0.43333333333333335
prolific,1sxr2nbpa4aj8f9ggyd14vjn,0,0,0,0,0,0,3.1300216614629077,0.08649404761904798,5.7268036474874835,False,False,False,False,0,1,0.45555555555555555,0.3140830800405269,0.07777777777777778
prolific,1u2wyleqh3t6iqx93tokdv0k,0,0,0,0,0,0,5.269984936621645,0.14754141865079398,6.5251925117275835,False,False,False,False,0,1,0.6555555555555556,0.8977987421383649,0.13333333333333333
prolific,25fuwx9wj8mwr4avjszslbbx,0,1,0,0,1,1,4.367069279928037,0.10075148809523778,6.266624111569608,False,False,False,False,0,1,0.6333333333333333,0.6278825995807128,0.06666666666666667
prolific,2g95z4j2bkkzbjeeh5wex9qe,0,1,0,0,1,1,1.5128009657225854,0.040827380952381045,4.14198545188935,False,False,False,False,0,2,0.43333333333333335,0.606349206349206,0.3333333333333333
prolific,2leyyrsxpwbmugus6n9l7hgm,0,0,0,1,1,1,5.796391121196113,0.16119444444444467,8.52767453270902,False,False,False,False,0,1,0.5777777777777777,0.7187165775401072,0.05555555555555555
prolific,2sdnu1yjjuxyew3zpe8nwlhb,0,0,0,0,0,0,5.694082380040808,0.15712276785714333,7.571128309157692,False,False,False,False,0,1,0.5888888888888889,0.18512820512820516,0.3333333333333333
prolific,354ipv8jxmf3sgg4kl6iwjyg,0,0,0,0,0,0,3.3349734287947674,0.12770238095238118,6.10953474641719,False,False,False,False,0,1,0.5777777777777777,0.72972972972973,0.16666666666666666
