name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
Z[1,1]	0.71	0.012	0.457	-0.0441	0.702	1.45	1457.0	4.93	1.0
Z[1,2]	0.93	0.014	0.656	-0.161	0.93	2.01	2196.0	7.43	1.0
Z[1,3]	0.606	0.013	0.631	-0.439	0.619	1.61	2338.0	7.91	0.999
Z[1,4]	1.36	0.0128	0.665	0.252	1.36	2.43	2707.0	9.17	1.0
Z[1,5]	-0.0654	0.0134	0.768	-1.31	-0.0888	1.21	3268.0	11.1	1.0
Z[1,6]	-0.787	0.0126	0.653	-1.84	-0.779	0.29	2677.0	9.06	0.998
Z[1,7]	-1.33	0.0134	0.574	-2.32	-1.33	-0.358	1833.0	6.21	1.0
Z[2,1]	0.0217	0.0107	0.437	-0.679	0.0248	0.747	1655.0	5.6	1.0
Z[2,2]	-1.14	0.0131	0.682	-2.29	-1.12	-0.0644	2700.0	9.14	0.999
Z[2,3]	-0.138	0.0115	0.631	-1.17	-0.132	0.906	3006.0	10.2	0.999
Z[2,4]	1.08	0.0114	0.643	-0.0232	1.1	2.1	3170.0	10.7	0.998
Z[2,5]	0.954	0.0128	0.73	-0.253	0.94	2.16	3234.0	11.0	0.999
Z[2,6]	-0.348	0.0122	0.631	-1.38	-0.353	0.713	2673.0	9.05	0.999
Z[2,7]	-0.419	0.0124	0.569	-1.34	-0.423	0.55	2112.0	7.15	1.0
Z[3,1]	-1.25	0.012	0.484	-2.04	-1.25	-0.453	1632.0	5.53	1.0
Z[3,2]	-0.98	0.0124	0.775	-2.31	-0.956	0.277	3937.0	13.3	0.999
Z[3,3]	-1.11	0.0132	0.785	-2.4	-1.08	0.127	3539.0	12.0	1.0
Z[3,4]	-1.04	0.012	0.755	-2.32	-1.01	0.194	3940.0	13.3	0.998
Z[3,5]	0.222	0.0136	0.728	-0.985	0.223	1.43	2855.0	9.67	1.0
Z[3,6]	1.32	0.0127	0.619	0.337	1.31	2.34	2391.0	8.1	0.999
Z[3,7]	0.28	0.0121	0.585	-0.679	0.28	1.22	2316.0	7.84	1.0
Z[4,1]	-0.715	0.011	0.443	-1.43	-0.72	0.0311	1634.0	5.53	0.999
Z[4,2]	-0.339	0.0133	0.734	-1.6	-0.333	0.857	3029.0	10.3	0.998
Z[4,3]	-0.172	0.0127	0.645	-1.23	-0.15	0.885	2595.0	8.78	1.0
Z[4,4]	-1.27	0.0122	0.722	-2.5	-1.26	-0.119	3495.0	11.8	1.0
Z[4,5]	0.576	0.0129	0.693	-0.618	0.59	1.67	2879.0	9.75	1.0
Z[4,6]	0.918	0.0126	0.638	-0.129	0.935	1.96	2557.0	8.66	0.999
Z[4,7]	-0.495	0.0114	0.57	-1.43	-0.483	0.441	2498.0	8.46	0.999
Z[5,1]	0.272	0.0106	0.47	-0.503	0.262	1.04	1980.0	6.7	1.0
Z[5,2]	-1.7	0.0122	0.738	-2.93	-1.69	-0.483	3640.0	12.3	0.999
Z[5,3]	-1.12	0.0127	0.67	-2.24	-1.12	-0.0194	2766.0	9.36	1.0
Z[5,4]	-1.76	0.0131	0.698	-2.95	-1.75	-0.607	2825.0	9.56	1.0
Z[5,5]	0.834	0.0128	0.708	-0.299	0.829	2.0	3037.0	10.3	0.999
Z[5,6]	2.12	0.0126	0.729	0.939	2.1	3.3	3355.0	11.4	0.999
Z[5,7]	1.9	0.0121	0.703	0.704	1.88	3.06	3353.0	11.4	0.999
Z[6,1]	1.38	0.0111	0.445	0.654	1.38	2.12	1599.0	5.41	0.999
Z[6,2]	1.13	0.0121	0.625	0.159	1.14	2.15	2655.0	8.99	0.999
Z[6,3]	0.936	0.0124	0.656	-0.145	0.932	2.0	2796.0	9.47	0.999
Z[6,4]	0.818	0.0123	0.6	-0.189	0.821	1.8	2398.0	8.12	0.998
Z[6,5]	-0.177	0.0125	0.74	-1.38	-0.191	1.03	3491.0	11.8	0.999
Z[6,6]	-0.77	0.0122	0.656	-1.89	-0.768	0.272	2908.0	9.85	1.0
Z[6,7]	-0.643	0.0131	0.592	-1.6	-0.643	0.337	2047.0	6.93	0.999
Z[7,1]	0.625	0.0125	0.434	-0.082	0.617	1.33	1213.0	4.11	1.0
Z[7,2]	1.63	0.0138	0.658	0.542	1.64	2.7	2257.0	7.64	0.999
Z[7,3]	0.896	0.0127	0.623	-0.144	0.888	1.94	2403.0	8.14	0.999
Z[7,4]	1.33	0.0137	0.629	0.293	1.34	2.35	2116.0	7.16	1.0
Z[7,5]	-0.788	0.0137	0.696	-1.93	-0.781	0.373	2588.0	8.76	1.0
Z[7,6]	-0.505	0.0133	0.643	-1.6	-0.515	0.579	2330.0	7.89	0.999
Z[7,7]	-2.03	0.0137	0.582	-2.97	-2.04	-1.05	1809.0	6.13	0.999
Z[8,1]	0.78	0.0122	0.452	0.0331	0.775	1.54	1384.0	4.69	1.0
Z[8,2]	1.19	0.0128	0.618	0.187	1.19	2.22	2336.0	7.91	0.999
Z[8,3]	0.756	0.0121	0.616	-0.274	0.768	1.76	2609.0	8.83	0.999
Z[8,4]	0.92	0.0121	0.603	-0.106	0.928	1.89	2475.0	8.38	0.999
Z[8,5]	-0.849	0.0136	0.756	-2.1	-0.85	0.373	3080.0	10.4	0.999
Z[8,6]	-0.961	0.0121	0.649	-2.03	-0.938	0.0771	2862.0	9.69	1.0
Z[8,7]	-0.179	0.0129	0.601	-1.17	-0.174	0.794	2162.0	7.32	0.999
Z[9,1]	0.0591	0.0116	0.454	-0.684	0.0557	0.824	1526.0	5.17	1.0
Z[9,2]	1.09	0.0122	0.609	0.0839	1.08	2.12	2473.0	8.37	1.0
Z[9,3]	0.269	0.0132	0.654	-0.788	0.261	1.32	2451.0	8.3	1.0
Z[9,4]	0.565	0.0123	0.618	-0.471	0.562	1.59	2543.0	8.61	1.0
Z[9,5]	-0.83	0.0132	0.71	-1.99	-0.844	0.359	2911.0	9.86	0.999
Z[9,6]	-0.418	0.0132	0.645	-1.48	-0.42	0.659	2389.0	8.09	1.0
Z[9,7]	-0.552	0.012	0.574	-1.51	-0.538	0.372	2277.0	7.71	1.0
Z[10,1]	-0.808	0.0111	0.439	-1.51	-0.813	-0.0787	1564.0	5.3	1.0
Z[10,2]	0.283	0.0117	0.701	-0.87	0.292	1.41	3607.0	12.2	0.999
Z[10,3]	0.2	0.0119	0.628	-0.823	0.195	1.22	2787.0	9.43	1.0
Z[10,4]	-0.348	0.0113	0.689	-1.49	-0.349	0.759	3738.0	12.7	1.0
Z[10,5]	-0.332	0.0117	0.69	-1.48	-0.331	0.805	3487.0	11.8	0.999
Z[10,6]	-0.361	0.0123	0.668	-1.45	-0.361	0.738	2963.0	10.0	1.0
Z[10,7]	-0.221	0.0119	0.569	-1.15	-0.237	0.698	2290.0	7.75	0.999
