platform	subject	trial	choice	accuracy
mturk	02rwq76tp9lcye8vrl41llnh	1	0.3325	0.3325
mturk	02rwq76tp9lcye8vrl41llnh	2	0.4445	0.4445
mturk	02rwq76tp9lcye8vrl41llnh	3	0.689	0.689
mturk	02rwq76tp9lcye8vrl41llnh	4	0.7205	0.7205
mturk	02rwq76tp9lcye8vrl41llnh	5	0.206	0.739
mturk	02rwq76tp9lcye8vrl41llnh	6	0.03	0.558
mturk	02rwq76tp9lcye8vrl41llnh	7	0.415	0.553
mturk	02rwq76tp9lcye8vrl41llnh	8	0.8685	0.8685
mturk	02rwq76tp9lcye8vrl41llnh	9	0.867	0.867
mturk	02rwq76tp9lcye8vrl41llnh	10	0.8785	0.8785
mturk	02rwq76tp9lcye8vrl41llnh	11	0.8755	0.8755
mturk	02rwq76tp9lcye8vrl41llnh	12	0.8735	0.8735
mturk	02rwq76tp9lcye8vrl41llnh	13	0.3385	0.3675
mturk	02rwq76tp9lcye8vrl41llnh	14	0.3275	0.372
mturk	02rwq76tp9lcye8vrl41llnh	15	0.311	0.3885
mturk	02rwq76tp9lcye8vrl41llnh	16	0.386	0.303
mturk	02rwq76tp9lcye8vrl41llnh	17	0.095	0.0805
mturk	02rwq76tp9lcye8vrl41llnh	18	0.4635	0.0575
mturk	02rwq76tp9lcye8vrl41llnh	19	0.3575	0.048
mturk	02rwq76tp9lcye8vrl41llnh	20	0.4915	0.0435
mturk	02rwq76tp9lcye8vrl41llnh	21	0.849	0.0715
mturk	02rwq76tp9lcye8vrl41llnh	22	0.3555	0.303
mturk	02rwq76tp9lcye8vrl41llnh	23	0.307	0.307
mturk	02rwq76tp9lcye8vrl41llnh	24	0.307	0.307
mturk	02rwq76tp9lcye8vrl41llnh	25	0.785	0.785
mturk	02rwq76tp9lcye8vrl41llnh	26	0.292	0.344
mturk	02rwq76tp9lcye8vrl41llnh	27	0.3615	0.355
mturk	02rwq76tp9lcye8vrl41llnh	28	0.3205	0.3615
mturk	02rwq76tp9lcye8vrl41llnh	29	0.7795	0.124
mturk	02rwq76tp9lcye8vrl41llnh	30	0.3435	0.358
mturk	02rwq76tp9lcye8vrl41llnh	31	0.316	0.335
mturk	02rwq76tp9lcye8vrl41llnh	32	0.7915	0.0955
mturk	02rwq76tp9lcye8vrl41llnh	33	0.347	0.303
mturk	02rwq76tp9lcye8vrl41llnh	34	0.317	0.317
mturk	02rwq76tp9lcye8vrl41llnh	35	0.1055	0.796
mturk	02rwq76tp9lcye8vrl41llnh	36	0.467	0.467
mturk	02rwq76tp9lcye8vrl41llnh	37	0.7885	0.1055
mturk	02rwq76tp9lcye8vrl41llnh	38	0.344	0.344
mturk	02rwq76tp9lcye8vrl41llnh	39	0.7825	0.7825
mturk	02rwq76tp9lcye8vrl41llnh	40	0.074	0.855
mturk	02rwq76tp9lcye8vrl41llnh	41	0.5775	0.5775
mturk	02rwq76tp9lcye8vrl41llnh	42	0.058	0.611
mturk	02rwq76tp9lcye8vrl41llnh	43	0.6065	0.6065
mturk	02rwq76tp9lcye8vrl41llnh	44	0.8	0.1005
mturk	02rwq76tp9lcye8vrl41llnh	45	0.854	0.081
mturk	02rwq76tp9lcye8vrl41llnh	46	0.3055	0.341
mturk	02rwq76tp9lcye8vrl41llnh	47	0.3505	0.3505
mturk	02rwq76tp9lcye8vrl41llnh	48	0.3795	0.317
mturk	02rwq76tp9lcye8vrl41llnh	49	0.3285	0.3285
mturk	02rwq76tp9lcye8vrl41llnh	50	0.331	0.322
mturk	02rwq76tp9lcye8vrl41llnh	51	0.356	0.3255
mturk	02rwq76tp9lcye8vrl41llnh	52	0.341	0.342
mturk	02rwq76tp9lcye8vrl41llnh	53	0.792	0.1115
mturk	02rwq76tp9lcye8vrl41llnh	54	0.864	0.0735
mturk	02rwq76tp9lcye8vrl41llnh	55	0.3345	0.29
mturk	02rwq76tp9lcye8vrl41llnh	56	0.371	0.322
mturk	02rwq76tp9lcye8vrl41llnh	57	0.325	0.333
mturk	02rwq76tp9lcye8vrl41llnh	58	0.3465	0.3135
mturk	02rwq76tp9lcye8vrl41llnh	59	0.817	0.094
mturk	02rwq76tp9lcye8vrl41llnh	60	0.3065	0.3065
mturk	02rwq76tp9lcye8vrl41llnh	61	0.7865	0.096
mturk	02rwq76tp9lcye8vrl41llnh	62	0.34	0.336
mturk	02rwq76tp9lcye8vrl41llnh	63	0.3155	0.3265
mturk	02rwq76tp9lcye8vrl41llnh	64	0.3125	0.3125
mturk	02rwq76tp9lcye8vrl41llnh	65	0.3055	0.324
mturk	02rwq76tp9lcye8vrl41llnh	66	0.3115	0.3115
mturk	02rwq76tp9lcye8vrl41llnh	67	0.7965	0.7965
mturk	02rwq76tp9lcye8vrl41llnh	68	0.8475	0.8475
mturk	02rwq76tp9lcye8vrl41llnh	69	0.862	0.862
mturk	02rwq76tp9lcye8vrl41llnh	70	0.872	0.872
mturk	02rwq76tp9lcye8vrl41llnh	71	0.36	0.36
mturk	02rwq76tp9lcye8vrl41llnh	72	0.311	0.311
mturk	02rwq76tp9lcye8vrl41llnh	73	0.3135	0.314
mturk	02rwq76tp9lcye8vrl41llnh	74	0.3195	0.3195
mturk	02rwq76tp9lcye8vrl41llnh	75	0.7855	0.7855
mturk	02rwq76tp9lcye8vrl41llnh	76	0.3755	0.334
mturk	02rwq76tp9lcye8vrl41llnh	77	0.334	0.3735
mturk	02rwq76tp9lcye8vrl41llnh	78	0.7915	0.11
mturk	02rwq76tp9lcye8vrl41llnh	79	0.8465	0.0765
mturk	02rwq76tp9lcye8vrl41llnh	80	0.303	0.3535
mturk	02rwq76tp9lcye8vrl41llnh	81	0.354	0.339
mturk	02rwq76tp9lcye8vrl41llnh	82	0.356	0.356
mturk	02rwq76tp9lcye8vrl41llnh	83	0.8045	0.8045
mturk	02rwq76tp9lcye8vrl41llnh	84	0.871	0.871
mturk	02rwq76tp9lcye8vrl41llnh	85	0.88	0.88
mturk	02rwq76tp9lcye8vrl41llnh	86	0.3295	0.3575
mturk	02rwq76tp9lcye8vrl41llnh	87	0.3045	0.3685
mturk	02rwq76tp9lcye8vrl41llnh	88	0.309	0.374
mturk	02rwq76tp9lcye8vrl41llnh	89	0.377	0.377
mturk	02rwq76tp9lcye8vrl41llnh	90	0.831	0.831
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	1	0.3255	0.3255
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	2	0.1135	0.77
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	3	0.135	0.8605
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	4	0.487	0.487
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	5	0.33	0.6665
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	6	0.9935	0.9935
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	7	0.995	0.995
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	8	0.9885	0.9885
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	9	0.9925	0.9925
