,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"W[1,1]",1.537312718864702,0.05785451107760024,3.3916710732053894,-5.155457368889689,-0.7489729866653635,1.4853855929556603,3.811847199276861,7.96199137541804,3436.790026151338,0.9985649005615065
"W[2,1]",0.545522153695787,0.05358462090287886,3.275982437383322,-5.962385149857908,-1.562478001443974,0.5802434214263172,2.6531946954132755,7.174397875725024,3737.685920300719,1.000040839696427
"W[3,1]",-0.17963336639403688,0.0456783884723404,3.370919423872523,-6.687238734831027,-2.406670738022412,-0.21242689151353178,2.089534883579124,6.623776982783306,5445.969388068798,0.9997287500680927
"W[4,1]",0.23201303025986073,0.04508274446890731,3.3377477527797255,-6.344741289763995,-1.9610078128074147,0.2499884242469188,2.403263302220691,6.868551192928104,5481.334824648668,0.9984987262699591
"W[5,1]",0.07507977259886056,0.04823408266669757,3.3468728571916166,-6.443716053914182,-2.1353359840507995,0.21590089378394073,2.365814109201783,6.550693046435645,4814.712753739218,0.9986134689058416
"W[6,1]",-1.5364873391308225,0.05774966849501146,3.3830231027604842,-8.084256025760393,-3.879070329519778,-1.5365629077069158,0.7613768238035283,5.0515309462005815,3431.7128118856504,0.9985373212838856
"W[7,1]",-0.37706982873318917,0.05237982669629047,3.280046865208801,-6.853349205045502,-2.5991775524185776,-0.3560445472715764,1.7096264316535248,6.22528380326366,3921.3172830199956,0.9999934576856437
"W[8,1]",0.07908428730839034,0.04678942983397857,3.3596217498792047,-6.378562528282173,-2.213022385906987,-0.018251996464203214,2.288092200572203,6.946070779155685,5155.671789639459,1.0002355015020115
"W[9,1]",-0.330982556734052,0.045892894287997935,3.337977643736027,-6.868206748920531,-2.6156641227889468,-0.3246500273034927,1.8550905548128411,6.171218822781325,5290.247024734114,0.9988415415910359
"W[10,1]",0.21979918905952073,0.049074914955822155,3.331889366101799,-6.413665785810517,-1.9906802461409885,0.2519294287594449,2.485030888173932,6.646242783497408,4609.58718442166,0.9984858290156374
"W[11,1]",0.14764165734719117,0.029042209241814883,1.6857359755766532,-3.0877275379667086,-1.021884520270609,0.17469349536911866,1.2759997864338763,3.4518856097465456,3369.1458377119807,0.9985705650937575
"W[12,1]",0.4096256253020816,0.026475324332908737,1.6414008856919842,-2.9296145629849666,-0.65927507302128,0.404822465805742,1.4892068718282325,3.6234104212309246,3843.6757937883363,1.0001036501754474
"W[13,1]",-0.10528177201048715,0.02363603003931508,1.6866773274777263,-3.527059991773039,-1.2381027353230571,-0.07251313523452037,1.0090918671073137,3.194210675618747,5092.311334371661,0.9999532148959895
"W[14,1]",0.010065008604519922,0.022939522774016834,1.6711376841868688,-3.2708867310583383,-1.0863117981001122,0.00510162057284497,1.1470109504450603,3.317129574945649,5307.080898498228,0.9987412658223775
"W[15,1]",0.21319372724915153,0.024629557849716037,1.668327399203721,-3.0147309497435835,-0.9177279750416465,0.2050268440273575,1.3269792778952936,3.520968976180119,4588.273881994263,0.9985639493853278
"W[1,2]",4.174992717497462,0.05912807493692715,3.4623495831732645,-2.43069018392938,1.763828237971888,4.180739690895639,6.5067026860303985,10.760626510995268,3428.8963002965675,0.9995422426769721
"W[2,2]",4.63803924661256,0.05793034131209178,3.555952184731287,-2.227031197351383,2.156140398324908,4.537520603853109,7.046296330520173,11.94704432507169,3767.902451047464,0.9994635033524065
"W[3,2]",2.852738989416769,0.0508524090289412,3.4389935630392,-3.6384415842495725,0.41102947179003635,2.946057922559801,5.223458460046031,9.674209039631474,4573.405005328826,0.9987016057669131
"W[4,2]",0.6369302174036885,0.05619962739816689,3.4920067502215844,-6.038876605923583,-1.7677489063292717,0.7174164993809431,3.051125992343428,7.270618947643179,3860.8530911800317,0.9985269776499353
"W[5,2]",0.7694785635064182,0.04994623087612447,3.483785779757543,-6.393568313300576,-1.512938254658434,0.744371596536717,3.1320763785476204,7.690781430375015,4865.163540633909,0.9987190685770014
"W[6,2]",-4.510742114438403,0.057315490373161915,3.4207105870049497,-11.347996397300607,-6.839509990914351,-4.572030929428291,-2.197295665520259,2.076420401320244,3561.9567236825446,0.9996893560385224
