name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
lp__	-20812.9	2.07555	54.9387	-20905.0	-20812.8	-20721.6	700.633	0.0256716	1.00301
accept_stat__	0.850636	0.00744929	0.117835	0.618777	0.876441	0.992525	250.217	0.00916809	1.01938
stepsize__	0.0151137	0.000704709	0.000999612	0.0139555	0.0160554	0.0161556	2.01207	7.37234e-05	36736000000000.0
treedepth__	9.0		2.84288e-14	9.0	9.0	9.0			
n_leapfrog__	511.0		2.9566e-12	511.0	511.0	511.0			
divergent__	0.0		0.0	0.0	0.0	0.0			
energy__	23709.0	3.03892	76.1228	23584.3	23709.8	23835.1	627.468	0.0229907	1.00261
W[1,1]	1.5	0.048	3.3	-4.1	1.6	7.1	4681.0	0.17	1.0
W[1,2]	4.1	0.059	3.5	-1.6	4.2	9.9	3522.0	0.13	1.0
W[1,3]	6.7	0.074	3.9	0.5	6.5	14.0	2795.0	0.1	1.0
W[1,4]	5.4	0.077	4.0	-0.82	5.3	12.0	2676.0	0.098	1.0
W[1,5]	3.4	0.057	3.5	-2.4	3.3	9.1	3725.0	0.14	1.0
W[1,6]	7.4	0.069	3.7	1.3	7.3	14.0	2892.0	0.11	1.0
W[1,7]	2.8	0.052	3.3	-2.6	2.8	8.3	4003.0	0.15	1.0
W[1,8]	2.8	0.053	3.5	-2.8	2.7	8.5	4308.0	0.16	1.0
W[1,9]	3.4	0.066	3.8	-2.8	3.4	9.6	3301.0	0.12	1.0
W[1,10]	4.0	0.057	3.4	-1.6	3.9	9.6	3523.0	0.13	1.0
W[1,11]	3.2	0.053	3.3	-2.3	3.3	8.7	3939.0	0.14	1.0
W[1,12]	2.1	0.051	3.4	-3.4	2.1	7.5	4404.0	0.16	1.0
W[1,13]	6.8	0.07	3.8	0.71	6.7	13.0	2920.0	0.11	1.0
W[1,14]	2.2	0.054	3.3	-3.2	2.3	7.5	3705.0	0.14	1.0
W[1,15]	4.2	0.06	3.5	-1.5	4.2	10.0	3395.0	0.12	1.0
W[1,16]	2.4	0.049	3.5	-3.2	2.2	8.0	4922.0	0.18	1.0
W[1,17]	4.8	0.073	3.9	-1.6	4.8	11.0	2854.0	0.1	1.0
W[1,18]	5.2	0.074	3.8	-0.94	5.2	12.0	2597.0	0.095	1.0
W[1,19]	2.0	0.049	3.4	-3.7	1.9	7.6	4700.0	0.17	1.0
W[1,20]	2.3	0.051	3.4	-3.1	2.2	7.8	4383.0	0.16	1.0
W[1,21]	8.3	0.069	3.8	2.2	8.3	15.0	2986.0	0.11	1.0
W[1,22]	3.1	0.049	3.4	-2.5	3.1	8.7	4832.0	0.18	1.0
W[1,23]	6.6	0.069	3.9	0.2	6.6	13.0	3179.0	0.12	1.0
W[1,24]	-0.76	0.05	3.5	-6.4	-0.75	4.9	4854.0	0.18	1.0
W[1,25]	3.4	0.056	3.5	-2.2	3.4	8.9	3812.0	0.14	1.0
W[1,26]	1.6	0.047	3.3	-3.8	1.6	6.9	4863.0	0.18	1.0
W[1,27]	2.3	0.051	3.6	-3.7	2.4	8.2	5025.0	0.18	1.0
