,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"theta_pr[1,1]",0.5013906950117784,0.04637683544188807,0.3904289282420227,-0.2906960192629827,0.32768601914776063,0.45611549775394367,0.6327972539000712,1.4317836555843044,70.87315321210708,1.0598251346239898
"theta_pr[2,1]",-1.4840895377265135,0.08769490600204286,1.011725519972263,-2.969461074226907,-2.2762330700512807,-1.8269184619369196,-0.6578801038052366,0.6284046861475292,133.0995771949136,1.0409862949658222
"theta_pr[3,1]",0.8654677789003271,0.06517941877420341,0.7485662734802384,-0.7372896136781115,0.34928924636676884,0.7772183871025303,1.3404399389548511,2.5002088030858896,131.8984055164396,1.0236791757454269
"theta_pr[1,2]",0.2972052473384507,0.003396789790263289,0.08530707647756074,0.1800162171704549,0.24513970174013572,0.28280953113564317,0.32884188629231015,0.5219843832823308,630.7144404577648,1.0091690526591583
"theta_pr[2,2]",1.442769105756292,0.018395385094142205,0.6053475608138575,0.37130464380102846,1.0102925106815301,1.396080976021942,1.8285919458498638,2.7750369032937847,1082.9086575840793,1.0055066302970457
"theta_pr[3,2]",-0.37556097629597307,0.017201293167252222,0.609326747876873,-1.5672530794587665,-0.7542467631577746,-0.3777548940612906,0.00327192637754499,0.8491897426328561,1254.8109227092036,1.0033416002110265
"theta_pr[1,3]",0.8639423523630222,0.014062765093230992,0.39459504893492353,0.417933515397702,0.5812855054923756,0.7450586038808737,1.0389582997334048,1.897701674487919,787.3390990849423,1.009310113422999
"theta_pr[2,3]",1.0537031364927434,0.01762537282121503,0.5612826211719516,0.21617440681434139,0.6525585854915434,0.9580418169501445,1.363914527734818,2.3981280549423407,1014.1135057976155,1.0014134938250328
"theta_pr[3,3]",-0.8474674969713297,0.01913386025390107,0.609387144762396,-2.0431425884457504,-1.2297414756195266,-0.8827100825332723,-0.49218910425157125,0.5158727005336364,1014.3349301485888,1.0008314172594148
"theta_pr[1,4]",1.2445433635164214,0.01512733961399864,0.5301831551779308,0.5136912477902345,0.8454013318828881,1.1519333773683058,1.5485785846120521,2.513625559738454,1228.363028652877,0.9987982673007247
"theta_pr[2,4]",1.3110416520133816,0.01799197616108191,0.6560951123107575,0.23031090360858059,0.8153079746230858,1.2505402500454206,1.7383698463072945,2.7376464260052202,1329.7679789233416,0.9986864386779638
"theta_pr[3,4]",-0.7247841009126451,0.013720546462461973,0.5374647360676353,-1.730653014650264,-1.0684583950341142,-0.7666984309777826,-0.3945291659289373,0.41513720177254565,1534.465512112056,1.0010751459224092
"theta_pr[1,5]",1.377347203536136,0.01136230912101241,0.5072530249032545,0.614678770336247,0.9987314399136147,1.298621839933764,1.7098638905879688,2.496081960189253,1993.0403450588071,1.0003865394954807
"theta_pr[2,5]",0.9649185702830824,0.014563537222213862,0.5497659845778968,0.023982021360398145,0.5629105663261811,0.9334487354747771,1.2901379601479284,2.2008892255455264,1425.0233827228628,0.9993571586202536
"theta_pr[3,5]",-0.008180942567015282,0.0140559453867667,0.5260602837450625,-0.8781322095931485,-0.3897281982861056,-0.07226740512056631,0.3222435763498416,1.2023973722068493,1400.718638552419,0.9989574476763389
"theta_pr[1,6]",0.2917745389624342,0.001918691259013637,0.06179436126313192,0.1987892697145534,0.24912476799936323,0.2832602697603257,0.32270529856408525,0.441337153359205,1037.2596906728554,0.999297079133849
"theta_pr[2,6]",1.313717226133132,0.015558274396587739,0.5662534933317762,0.3531424431111652,0.9158276870312623,1.2438858134658168,1.657475980198063,2.584961161530952,1324.6432630801874,0.9993471270208173
"theta_pr[3,6]",-0.432793381688182,0.01619067873427226,0.605903123250689,-1.665211913466556,-0.8165910718217751,-0.43194016340670105,-0.04156282072910564,0.7854406984005846,1400.4779379591553,1.0010850492589936
"theta_pr[1,7]",1.2284407572862062,0.005162661037104535,0.27075751643416524,0.7685504114088908,1.0346044472618845,1.2028291822213482,1.4003302969936047,1.8329984774507642,2750.5137494486257,0.9993365808498677
"theta_pr[2,7]",0.7449166350344513,0.014592750643194732,0.4595003456948851,0.0029503401810998513,0.4308543526518885,0.6822571076756402,1.0147545888818337,1.8202821612658489,991.5106012344095,1.000425265623089
"theta_pr[3,7]",0.8523849151903057,0.01421679903422651,0.45891002298354766,0.10556654553732248,0.5249809699502374,0.7881564125526098,1.113028090919359,1.88248581753145,1041.9609369279872,1.0011909088531934
"theta_pr[1,8]",0.4101599326605949,0.0031564671890684007,0.12345695786768722,0.232051006514632,0.32122644511849574,0.38852085430778094,0.4759776814909855,0.7099814994528968,1529.7786090633244,1.0000575599204773
"theta_pr[2,8]",0.8128547883939998,0.014364863601537131,0.48629947891313224,0.03818189071520955,0.4648081560820026,0.7524606428410621,1.085944236860405,1.944889363185201,1146.0527173178396,0.9996824621220477
"theta_pr[3,8]",-1.104267390783324,0.012305847369895108,0.4742670427184958,-2.0709839935585386,-1.3990639688749145,-1.0807891456069352,-0.8166305959490827,-0.17791314560596455,1485.3296274568877,1.0039374113363186
"theta_pr[1,9]",1.0443687103424233,0.005716657189990078,0.2308665984434342,0.6690452024631881,0.8733818701131737,1.0173198516001256,1.1826809726812941,1.5645008940215397,1630.9397169586075,1.0008699079422476
"theta_pr[2,9]",0.004974476156300474,0.010721089117783737,0.31229700236863833,-0.44740357038238415,-0.2022265185255802,-0.04816157248161457,0.14410799069053853,0.8186171431768193,848.5116687407397,1.0039905290324194
"theta_pr[3,9]",0.409084565491285,0.00965761683574643,0.27507391520900426,0.05343246224184715,0.2205663712122761,0.3549891879104027,0.5249593739470677,1.1620840188332935,811.2577826931927,1.00509875014498
"theta_pr[1,10]",0.5801068669432712,0.0039965199080339705,0.15065295927723948,0.3722448464751983,0.47690647117504825,0.5535162097689494,0.6491279416433828,0.9631807680785949,1420.991148020814,1.0004099398296868
"theta_pr[2,10]",1.673138547828714,0.014361070401669613,0.5684019024128198,0.6589465008958787,1.260848710103593,1.6357485927345135,2.0378066257168195,2.8672964614748544,1566.5253356299472,1.0002681666742734
"theta_pr[3,10]",-0.39822653658224416,0.012475560493632602,0.5557143217539777,-1.5532808287921345,-0.7431615945348298,-0.4000166653464467,-0.03695606687839538,0.662106136935947,1984.1890386134028,0.9994895355315664
"theta_pr[1,11]",0.45499173098537027,0.003820110149988556,0.11157652635393946,0.2977504855069644,0.379274252275267,0.4365146098747458,0.5069933545003583,0.7339203277223736,853.0881356067014,1.0080924073409854
"theta_pr[2,11]",1.065611654710953,0.016284853728264524,0.5575037639551061,0.21309694563483406,0.6588446391606839,0.9742544873845627,1.4026494028297556,2.3343238749445736,1172.0007337562954,1.00377229931986
"theta_pr[3,11]",-0.024704719421087214,0.019184510869885204,0.6489475245954405,-1.327126866396199,-0.4401562086835786,-0.05336792125517796,0.3823093979513565,1.3165142015479905,1144.2415095918946,1.0006241939894005
"theta_pr[1,12]",1.277467827004674,0.012734086470372791,0.49014849458052806,0.5846999652328744,0.9063645375732212,1.1859282542901517,1.573061298694414,2.4389703849764848,1481.5617495210572,0.9995040980052471
"theta_pr[2,12]",0.9009608211693212,0.014127734642034505,0.5418241282672327,-0.015656060616282365,0.51420298130852,0.8507615953494474,1.2408373575964302,2.074152829946875,1470.8609694751667,1.0006709224033166
"theta_pr[3,12]",0.017474173511924016,0.014236029088316185,0.5338854250858677,-0.8483575074288012,-0.38933960449018024,-0.042237472777594404,0.34534453882256244,1.1697695370937542,1406.4308898634438,0.999728546327439
"theta_pr[1,13]",1.0336385244905222,0.015996433973700264,0.45011863927010787,0.4743593213634115,0.7231525644061274,0.9250086206509027,1.2226416141223226,2.156417678525928,791.7856729010263,1.0008367483207914
"theta_pr[2,13]",0.5733312259390397,0.013842358444308263,0.3902696970919254,-0.01680054314530097,0.29989316614645567,0.5156464653955828,0.7735006567013447,1.4932306033079032,794.8944791909901,1.003652149559462
"theta_pr[3,13]",-0.4967555146778791,0.0162715621485748,0.4454647338354702,-1.2754519469538814,-0.7835671400818808,-0.5347193712677558,-0.2639586937896943,0.4950211147976915,749.4939942389888,1.0040867091932804
"theta_pr[1,14]",0.32570267185169566,0.0009843632524243983,0.05022609007880446,0.23629952012529337,0.2899338580114062,0.3226736892556054,0.35606493702028363,0.4376725348273285,2603.4423026893255,0.9992547509233607
"theta_pr[2,14]",1.6339194187113413,0.013148872730132806,0.5601702970872561,0.6879304672639209,1.240261732806031,1.5859284848088973,1.9747937377707876,2.8706442020097596,1814.943500243892,1.0018234230976495
"theta_pr[3,14]",-0.0733779672155856,0.012997904825542219,0.5554579931619981,-1.1724778460581455,-0.40975261364361637,-0.07858356778420958,0.2665527080545664,1.0325300035871159,1826.23110794616,1.0022083606310923
"theta_pr[1,15]",0.6080774642306751,0.004634333757956472,0.18953288191025583,0.3469539499900721,0.4709009728208305,0.5708436260061314,0.702570419510945,1.087456503400562,1672.6093370364667,1.002630809996062
"theta_pr[2,15]",0.8644085850151733,0.011799319713549779,0.46134773978346977,0.14864120519414353,0.5322585624899984,0.8072891028013356,1.124435239157506,1.9430874401326863,1528.7724818403542,1.0012162307811832
"theta_pr[3,15]",-0.9571386587882716,0.012472870490532572,0.4856797535026283,-1.9842932979060146,-1.2406502544825402,-0.9377615960158875,-0.6617377309776888,-0.04164371351353775,1516.2372885954044,1.0028009072540671
"theta_pr[1,16]",0.10234088333737966,0.001168952419496703,0.04644233836330389,0.031569446778106774,0.07557046068228293,0.09751109684872306,0.12269868627401145,0.21416847097019553,1578.463297586275,0.9994424891083142
"theta_pr[2,16]",0.7572603556364745,0.017186459277119485,0.8083003599512745,-0.8098223940394373,0.2178096715204202,0.7656127843754819,1.2964601373785576,2.3368635254844587,2211.9368186324004,0.9991961804056086
"theta_pr[3,16]",0.007583439872536484,0.014903486865868204,0.7966696765080604,-1.5877187040590757,-0.519064859045947,0.002592196536226208,0.5380429826089644,1.5715438160717656,2857.4641845617975,0.9984829164390151
"theta_pr[1,17]",0.5062076334920134,0.0025415486291609614,0.10552987390950357,0.3357456205859487,0.432605935248941,0.4929009509558965,0.5659435338216889,0.7578390001712714,1724.0664114091385,0.9994076651355867
"theta_pr[2,17]",1.8252990867432564,0.014375809912950772,0.5520545669244764,0.9403573638387028,1.4302387171087605,1.7708800114096879,2.178043560286656,3.088933766751385,1474.6853666843356,1.0001961026534374
"theta_pr[3,17]",-0.31811069278985166,0.013497693998137498,0.5801404082774722,-1.409943917995248,-0.6972358332564457,-0.333732119030597,0.05423253475384274,0.9210633349566972,1847.3410300848418,0.9998588385197729
"theta_pr[1,18]",0.34622897742093656,0.0020795998057273756,0.0650080206433739,0.24241967923755975,0.3009327415189722,0.34131808217581194,0.38139461270725356,0.48244542688911873,977.1795044136521,1.0031493275678478
"theta_pr[2,18]",1.1189195991245524,0.014663103060773378,0.5620634468583385,0.22708690851573593,0.7064289543158189,1.043289070453145,1.4614304819051411,2.363083241564435,1469.3285274652758,1.001647543441324
"theta_pr[3,18]",-0.014381089310140314,0.014242557506126052,0.5633987623448645,-1.1524891758529119,-0.3592172974302845,0.008715549950989925,0.32291599852839503,1.1535577592024215,1564.7891059993701,0.9994418270042716
"theta_pr[1,19]",0.9063952026137021,0.011848047667611609,0.38004159488655814,0.4290792770677547,0.6215241714055798,0.8146546654427615,1.0910177704000374,1.8722023048606227,1028.8893654419055,1.0003787215913993
"theta_pr[2,19]",0.32413210444400387,0.013130984975827235,0.35936881107797325,-0.20475595998482704,0.0854958682257585,0.2620122985476192,0.49310092291577845,1.2507023026753974,749.0074834403117,1.0019500969769406
"theta_pr[3,19]",-0.43542629548842915,0.013396744581272348,0.3921576000599149,-1.0769545327891044,-0.6936766651753083,-0.4750308031131857,-0.22830715098652332,0.4551689606802306,856.8853494996401,1.0022300137224407
"theta_pr[1,20]",0.2853876348866934,0.0023321128195411215,0.07675150121201774,0.17937347288368596,0.23566114396349017,0.2725070059620006,0.3167261081256675,0.48257189494122554,1083.1151860909736,1.000792406482695
"theta_pr[2,20]",0.7251840969546317,0.014727745563091388,0.6007192903828691,-0.26705588292654325,0.30217894888911295,0.6659853056585687,1.083838813950889,2.0786980907380492,1663.683123931845,0.998981540739186
"theta_pr[3,20]",0.0897523223032863,0.015983346154461016,0.6223821404718621,-1.0794569837037922,-0.34581385083421984,0.04139882396241146,0.49377664500888574,1.389421896604659,1516.2779990024728,1.0012035246839572
"theta_pr[1,21]",0.5146676974454164,0.012560936327876812,0.3532254825228261,0.20810262603915508,0.29053254310502963,0.3849986727408041,0.596463732793695,1.592882982980139,790.7879188712766,1.003594167257068
"theta_pr[2,21]",0.6271480846972688,0.01563445460125124,0.5880535117598966,-0.3162395037475665,0.19511227557963695,0.5513937040970018,0.9850859659553524,1.9264769932299783,1414.7126087482989,0.9996857850174679
"theta_pr[3,21]",-0.959991739306384,0.016787167449123987,0.590638480371952,-2.088284791843811,-1.3462407955519327,-0.9819003222028133,-0.601126860895955,0.3011088873263274,1237.9087455712327,1.0024435000726808
"theta_pr[1,22]",0.16986187538005326,0.002088873868480651,0.06526037589480531,0.07609544269446654,0.1264426880461761,0.15744406520552756,0.2005326067288487,0.3363770284113359,976.0559382054264,1.0083216105558577
"theta_pr[2,22]",0.6790229021912622,0.014347202091347353,0.6210933838369592,-0.3377971699520977,0.24258370665053186,0.6166443827110348,1.0508766861374794,2.1156362041499737,1874.042235920935,1.0009594352270295
"theta_pr[3,22]",-0.4126202737448644,0.01920827062524042,0.777034015570925,-1.78845597617542,-0.9438960639330373,-0.4728489073218819,0.09058126160356486,1.2080371025391503,1636.4529758760996,1.0004400126839255
"theta_pr[1,23]",0.9127044590090104,0.012757688288317415,0.4104349398368487,0.4168731969564101,0.6122449720562796,0.804047229972277,1.1007291817956624,1.9364533375593131,1035.0103098130169,1.0015259331297157
"theta_pr[2,23]",1.3729477898201907,0.016593548929683323,0.5635127627694639,0.529221985113417,0.9661739235966024,1.2798380898958577,1.687477920376295,2.771410601160348,1153.264577103705,1.003967201670054
"theta_pr[3,23]",-0.9253196574210547,0.017508486782835543,0.5828299073292507,-1.9914597621625116,-1.328034588243702,-0.9690875054203232,-0.5662687966843853,0.3251083336310587,1108.1190800164254,1.001260331562905
"theta_pr[1,24]",1.1947456538031567,0.004965298243975664,0.23796709841812014,0.7843517660266601,1.025013176836806,1.173138444772468,1.332305689053379,1.7157512395664043,2296.905622145127,0.9993781360190293
"theta_pr[2,24]",0.6679417764399094,0.012230767976585203,0.418573543670404,-0.005206319670385568,0.37090560635201436,0.6129342835540179,0.9265435772184252,1.6222739701511983,1171.2135678722814,1.0004261432814459
"theta_pr[3,24]",0.8886678808796221,0.011689245466373305,0.3984661846559942,0.2719090195568688,0.5959005677231273,0.8294849661754671,1.1239903534981261,1.809006518903737,1162.0103213277837,1.0009182090734159
"theta_pr[1,25]",0.2758017945301499,0.000857182557854879,0.04517605295411586,0.19301795200379668,0.24344638578142866,0.2730720738586697,0.30568830435419714,0.3704786468510628,2777.6013649851016,0.9991863343558702
"theta_pr[2,25]",1.8610707577163617,0.01186965120623041,0.5529828929433035,0.9201740576828081,1.470182841398958,1.8113193627362847,2.190522478604945,3.0594423838724625,2170.4384670254485,0.9986655817911307
"theta_pr[3,25]",0.002166965882112052,0.011740422746733755,0.5633454606229852,-1.1187169223310929,-0.36899425530039165,0.012419198947032566,0.376510773848185,1.1354285863823712,2302.407164346629,0.9991739468658181
"theta_pr[1,26]",0.46200766250324116,0.0028022669746460877,0.1150956526008687,0.26959972550852845,0.38075640694557533,0.44767065798502154,0.528188126885528,0.717362644556204,1686.9368389177187,0.9994075853935506
"theta_pr[2,26]",0.4301538332591888,0.01506158556621349,0.420067225353111,-0.18051808722294072,0.14576871043307815,0.3595579863623664,0.6349128859513307,1.4790893861315755,777.8506331019328,1.0020539577777419
"theta_pr[3,26]",-0.4548105251952195,0.012811638822540132,0.36923945451527196,-1.1686418554117348,-0.655925357525678,-0.4570555422520927,-0.2587461149315476,0.24673612372859138,830.6284990657132,1.0006697046557078
"theta_pr[1,27]",0.9319943437842756,0.013240249345243394,0.41930794543675964,0.4265371563545009,0.635266391694057,0.828849429617451,1.123021734925433,2.022745945715973,1002.9374674090877,1.0008106168156612
"theta_pr[2,27]",1.1692353482653615,0.016843442963295163,0.5821847967675924,0.31799481069596336,0.7496454896960127,1.0478499459934967,1.5123017656144564,2.566514818929147,1194.7030697170044,0.9994813717232691
"theta_pr[3,27]",-0.7636158011513303,0.019118455947195936,0.6252237816912538,-1.8873143409363111,-1.1946167388851623,-0.8001990674835417,-0.38802032886211996,0.7070836598757211,1069.4619770285956,1.0005329571073938
"theta_pr[1,28]",0.25722947708081007,0.0025280820466498416,0.07173171483553968,0.15364229054064482,0.21031425949032143,0.24813219264854783,0.2893654471877428,0.4297837801073025,805.0819644972992,1.002040338132473
"theta_pr[2,28]",1.6393244037798944,0.014921979451186115,0.5976382712332116,0.6183848349216661,1.2245368933046863,1.5990565633727087,1.9951358792924812,3.0061208266376243,1604.0722526622947,0.9997075809792644
"theta_pr[3,28]",-0.58328181019848,0.015717148299717,0.5933494140270965,-1.7152929364175817,-0.9734442341875833,-0.6204543356944403,-0.2135931837246609,0.6529428304486316,1425.1925177286876,1.0004512953211622
"theta_pr[1,29]",1.0025940268464775,0.004354696333781478,0.21193384833100676,0.6498285959997101,0.8502287083997115,0.9918595105932706,1.1264433543415842,1.4605277483552408,2368.562761001636,0.998948893424539
"theta_pr[2,29]",0.476914088996778,0.012263098115230749,0.43408803879600144,-0.1780039845031542,0.16371642644247142,0.4063867123232883,0.7294436778337535,1.4813313226143807,1253.0120057651438,0.9991896083138883
"theta_pr[3,29]",0.7294904973426442,0.011422614034301042,0.3939523526895131,0.1730954779347044,0.4460040609606313,0.6483752330455843,0.9422197940641002,1.7042795225756113,1189.4779400777195,0.9992826875170894
"theta_pr[1,30]",1.6440557048670648,0.010461215166552797,0.5051162146029928,0.8555022578978593,1.2631757830478607,1.5711517737261653,1.9603336809330747,2.7726397967025473,2331.4083645373207,1.0003420342734477
"theta_pr[2,30]",0.8448225502394803,0.013893113804314842,0.48250576409188517,0.02912282421676921,0.485314070459298,0.7965513070966659,1.170355462875561,1.8738264723421176,1206.1625091956262,1.00209815809209
"theta_pr[3,30]",0.4197104431381989,0.013166955784453193,0.46670802499617314,-0.353369899114111,0.07863346389144665,0.3660975263490393,0.7209929055765363,1.4329857701186075,1256.3764373361328,1.0007779411595983
"theta_pr[1,31]",0.28438055033364584,0.0010221325022558795,0.049329796850583335,0.20011340290898025,0.24848128371692435,0.2800320859407742,0.31738464733046245,0.3849657192878402,2329.1864615612535,0.9994018515709815
"theta_pr[2,31]",1.3770695398210178,0.015220382268507113,0.5702638385087925,0.4408841292370831,0.9653297678154323,1.3059188301333116,1.7246768696791897,2.6829161887937936,1403.784833004127,1.0013826501484517
"theta_pr[3,31]",-0.496692713791998,0.01385595490120847,0.5613968872258503,-1.659960337320792,-0.8654138946377083,-0.5030959989409305,-0.1552446234464575,0.677312306047153,1641.5989978566922,1.0005613594485085
"theta_pr[1,32]",1.2310445599141973,0.014211455192405426,0.5217576073923929,0.5185155588050344,0.8151053258374391,1.1235845881829962,1.5393766212408002,2.4690292815486687,1347.9087099513313,0.9988616634298054
"theta_pr[2,32]",1.5030163064604556,0.016761627318401178,0.6369518721869492,0.37100026052369584,1.0216151186810174,1.4666514763876695,1.9318741543897326,2.811613057208893,1444.0454965772594,1.0018691778159228
"theta_pr[3,32]",-0.6550104597629157,0.015447333450820201,0.5902724102061959,-1.7507434595579667,-1.0602146718699603,-0.7132893027644657,-0.27330885699128876,0.5884219737535707,1460.151523561486,1.0001246435357924
"theta_pr[1,33]",0.8862611799127522,0.004559095488444892,0.1947236008132782,0.5639413437309417,0.7483808180564603,0.8669944888957319,1.002575377478746,1.3467874991784725,1824.2308963857263,0.9991568319982116
"theta_pr[2,33]",-0.5053802366086241,0.003477679481337363,0.1564842086186873,-0.807032957221743,-0.6090210678274659,-0.5121474039738682,-0.40155411475036784,-0.1910029423781086,2024.705813436967,1.0007363961835984
"theta_pr[3,33]",-0.10800218625935804,0.003192027991305911,0.16615455467931492,-0.41291471401908925,-0.22433507557753707,-0.11521527602869003,0.00428199153736232,0.2274628905082378,2709.512253594747,0.998249528893748
"theta_pr[1,34]",0.24692901219344274,0.000793765353908008,0.042738397082483004,0.16962288874936648,0.2166810473789934,0.24644316215598885,0.2748713375785763,0.33526622670796347,2899.0264753172933,0.9987084886521866
"theta_pr[2,34]",1.6547995686107195,0.012505187040977925,0.593464971214216,0.6143922915105531,1.241564594871965,1.6097873900487967,2.027460376224531,2.952620473437097,2252.2147405299825,1.0001940639411144
"theta_pr[3,34]",0.026923809352552733,0.01193114747339394,0.554386121714258,-1.0719103583817806,-0.32951786353312607,0.0347549966075201,0.38314420041931085,1.0801833710813709,2159.037929568516,0.9989422947896941
"theta_pr[1,35]",1.382983007574518,0.012366650722271591,0.5312602324459421,0.6168874745311492,0.9818263178792918,1.2997365959031304,1.684161114448608,2.721754942356558,1845.4846021444268,0.9995416969528031
"theta_pr[2,35]",0.794807129286629,0.015870143745087856,0.4906716570078253,0.0795806385839938,0.4461835220462731,0.7016467994947575,1.06519855794896,1.9568641163742075,955.9170847767232,1.0052556270320379
"theta_pr[3,35]",-0.33956774516168603,0.01312137927544353,0.43128171526582004,-1.0033970562039967,-0.6371749931731663,-0.3992331972033204,-0.12912309440510172,0.6890800750905113,1080.3466114855512,1.0067059746024067
"theta_pr[1,36]",0.3282196660202797,0.011286427603782049,0.20939281125169956,0.1832014932826333,0.23942801792264096,0.27561457992118166,0.3349247854707875,0.877183613456681,344.19973766777457,1.0065678826370799
"theta_pr[2,36]",1.1316807834741034,0.017214863432401036,0.6842946078009695,-0.01828224986942581,0.6114194949364734,1.0808488028106877,1.581837810294485,2.6015721727495613,1580.0799858600965,1.0012334787554364
