platform,subject,minutes,n_loops,missing,age,gender-categorical,gender-free-response,ethnicity,race,language,fluency,prolific,prolific-this-study
mturk,02rwq76tp9lcye8vrl41llnh,15.6,5,0,35,Male,,Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,8.6,1,1,48,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,0g4fx9g2wryeio74yzgqwpq8,7.4,1,0,39,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,0k1tzkzdb7dvx6z9q0nyovde,11.2,1,0,34,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,0lq9i4x81dgnwglgvgnh34rj,9.7,1,0,40,Female,,Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,0piu71owxiz9tgsitq7ktqh6,8.0,1,1,44,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,19h68mzzzd51m1ysm4jbmlml,11.9,4,3,47,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,1bkivj7fl2s7bnshyc0xs9xo,13.3,4,0,27,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,1dhmst23cwb07eov3r1qc7i1,14.2,6,1,30,Male,,Unknown,['White'],Yes,Very well,Yes,No
mturk,1emkh8fj8n8ujo3jfrrswpna,16.5,1,0,37,Male,,Not Hispanic or Latino,['Asian'],Yes,Very well,No,No
mturk,1gzcp8taimbcpvzulsjo6w7a,9.2,1,3,28,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,1h67fnjgm45dzniy6y91vld7,16.3,1,0,33,Male,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,No,No
mturk,1ujw1gehpdx2ufvvvly3gx69,9.2,1,0,30,Male,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,No,No
mturk,1ww0gs6eyl6uksonzztb0ezu,8.6,2,0,27,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,26drsd0sb4o6mw8hh3db4y8y,21.0,18,0,57,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,2gbv6cbysitn0o9t9m53f3xi,9.9,1,0,51,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,2j7koq5arntmjpvv38xf6g5x,16.7,5,1,51,Female,,Hispanic or Latino,['Black or African American'],Yes,Very well,Yes,Yes
mturk,2l792wi6dr04cwnd2lxldsg3,5.6,1,0,27,Female,,Not Hispanic or Latino,"['Black or African American', 'White']",Yes,Very well,Yes,No
mturk,2n2791gfw1ojwu32i7nsvght,9.2,1,0,29,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,2tbdv5xl54zpvqubll7hx9xl,13.6,4,0,33,Female,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,381z8zb2qt43qj83bpagb37k,15.0,3,0,24,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,3h1i9f440aazwely8ptjns7x,7.2,1,0,31,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,3h34cgrzlp4wtlx1eo4tv73k,10.2,1,0,38,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,3xzn2gdh051u5slem3dme6y4,8.5,1,0,32,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,48kl2yj4bk3oit3lc8y2c8qf,22.6,15,4,30,Female,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,49siubkt857w9wa5ym6zyrss,10.2,2,0,23,Female,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,No,No
mturk,5ia4n00eepgph445l075pzvt,7.0,1,0,64,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,5lc5w8l31px66g93vfq2rlcg,16.2,7,3,65,Male,,Hispanic or Latino,['Black or African American'],Yes,Well,Yes,Yes
mturk,5lukl1r5qtcpaaxcy1z4k2pb,6.8,1,0,58,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,5sg7gnocyd7oke5w09iyjmkw,9.3,1,0,23,Male,,Not Hispanic or Latino,['White'],No,Very well,No,No
mturk,5vfsoys60vdnkpwg6eycknxs,6.9,1,0,18,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,6anblbfay00uf1lrjuvta75s,12.9,1,1,30,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,6ddzcn9af3ba6dv3c91n5enx,7.1,1,0,31,Female,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,No,No
mturk,6ebn8yjdbepfbi3vshim0fa4,18.2,1,0,58,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,6g0smxt28qc8rof31hj311l7,5.1,1,0,23,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,6kf2nrcsp1vlkc4ognfrvlg6,8.8,1,0,20,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,6o83uqmv0frbft9n0ojoh68u,15.8,19,0,34,Male,,Not Hispanic or Latino,['White'],Yes,Well,No,No
mturk,6tsrpsayz54lw11oc7xqro8j,14.1,6,0,25,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,6u3el0wrisrdbl98ibq0opof,6.6,1,0,27,Male,,Not Hispanic or Latino,"['Black or African American', 'White']",Yes,Very well,No,No
mturk,6xcrpdfmw33oggfcpop84jjc,9.4,1,0,68,Female,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,71r198qbputz56vycr57vwrj,8.1,1,0,30,Female,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,76znet129fvrpj732mz2wfkx,13.5,34,0,30,Male,,Hispanic or Latino,['Black or African American'],Yes,Very well,Yes,Yes
mturk,79wkgbbalgknlalvcbuej04n,8.3,1,0,32,Female,,Not Hispanic or Latino,"['Asian', 'White']",Yes,Very well,No,No
mturk,7c2n6irhszcuommpxijsqo0m,7.9,1,0,31,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,8268uvon5c4wg6cqy7jsgya1,9.7,1,0,64,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,8bis5casr4mjnn033kaxc4a9,7.0,1,0,33,Male,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,No,No
mturk,8gms1x5mpu3zq71ytb9tjrss,6.2,1,0,41,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,8jsbtrhsjtr1f1g26cw3ybge,5.1,1,0,33,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,8mn0ti7z45rkqyclbp3bkuox,8.3,1,0,28,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,984rqmge2ibnb6ry6iy9u0zo,12.9,8,0,30,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,9bx9aapx2af3ya9iqbfycexr,9.8,1,2,48,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,9x3grmi9fq74uxr3ub097epz,7.0,1,0,32,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,aov6xe6od75nt5353uwbsp77,10.8,1,0,36,Male,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,No,No
mturk,avr04c4gt8kmeq5i2jiisiyh,10.4,1,0,28,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,avuxpoyolfbqqsskoym8iwxk,6.5,1,0,59,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,aw0v60s7vif90ifki5jvje15,14.2,20,0,47,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,Yes
mturk,ayqvxud8iyhd449mhjpztndy,11.7,1,1,51,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,bgdjjadiljq5gtg3zd419eif,7.9,1,0,41,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,bhoyosccpd9jwnfuwpgla7cg,14.4,1,0,33,Male,,Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,borpj9kwayuoawc2db7wbyxj,6.0,1,0,27,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,cdbeog6cjz4lt4fk2fsw9a6d,9.8,1,0,44,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,cdx4de9mp88efzq0p2e2hq41,14.0,1,0,50,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,clm0rwz7njx098ktz0rq6tzj,13.1,1,0,30,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,ctnvg9z0u302ddk5abjypszu,9.8,1,0,21,Female,,Not Hispanic or Latino,['Asian'],Yes,Very well,No,No
mturk,cweobvm4evs54h8932qi6kqj,20.0,4,0,32,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,cwjn0tx0m76gm35d8f4jnxrq,4.8,1,0,34,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,czs7a87g24y6q0hq4ygiyrrl,7.5,1,0,69,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,d535ylen0c8wkaigri45rrml,5.7,1,0,37,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,dbuiumbyfl1ma1h69ta20xw8,6.4,1,0,48,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,deuoj5f7ihyov9fdc56skfam,6.6,1,0,62,Female,,Rather not say,['Rather not say'],Yes,Very well,Yes,No
mturk,dhdxn5ir5mjb94yjprcgwago,8.9,1,0,53,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
