platform,subject,trial,correct,choice,key,rt,accuracy,outcome
prolific,02hfkd0x4jtnoiwsds69adoq,1,0,0.0,37.0,4.966,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,2,0,0.0,37.0,3.405,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,3,0,2.0,39.0,6.508,0.0,0.0
prolific,02hfkd0x4jtnoiwsds69adoq,4,0,0.0,37.0,0.459,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,5,0,0.0,37.0,0.99,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,6,0,0.0,37.0,0.477,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,7,0,0.0,37.0,0.461,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,8,0,0.0,37.0,0.365,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,9,0,0.0,37.0,0.346,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,10,0,0.0,37.0,0.366,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,11,0,0.0,37.0,0.317,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,12,0,2.0,39.0,0.46,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,13,0,0.0,37.0,0.427,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,14,0,0.0,37.0,0.572,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,15,0,0.0,37.0,0.27,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,16,2,2.0,39.0,0.716,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,17,2,2.0,39.0,0.724,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,18,2,1.0,38.0,0.742,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,19,2,2.0,39.0,0.573,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,20,2,0.0,37.0,0.796,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,21,2,0.0,37.0,0.797,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,22,2,2.0,39.0,0.592,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,23,2,1.0,38.0,1.051,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,24,2,0.0,37.0,0.591,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,25,2,1.0,38.0,0.636,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,26,2,2.0,39.0,0.477,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,27,2,0.0,37.0,0.462,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,28,2,2.0,39.0,0.462,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,29,2,0.0,37.0,1.054,0.0,0.0
prolific,02hfkd0x4jtnoiwsds69adoq,30,2,0.0,37.0,0.542,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,31,1,1.0,38.0,0.509,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,32,1,2.0,39.0,0.653,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,33,1,1.0,38.0,0.576,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,34,1,1.0,38.0,0.414,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,35,1,0.0,37.0,0.491,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,36,1,1.0,38.0,0.494,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,37,1,0.0,37.0,0.526,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,38,1,1.0,38.0,0.476,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,39,1,0.0,37.0,0.909,0.0,0.0
prolific,02hfkd0x4jtnoiwsds69adoq,40,1,0.0,37.0,0.411,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,41,1,0.0,37.0,0.893,0.0,0.0
prolific,02hfkd0x4jtnoiwsds69adoq,42,1,1.0,38.0,0.54,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,43,1,1.0,38.0,0.827,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,44,1,1.0,38.0,0.397,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,45,1,0.0,37.0,0.67,0.0,0.0
prolific,02hfkd0x4jtnoiwsds69adoq,46,0,0.0,37.0,0.35,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,47,0,0.0,37.0,0.511,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,48,0,0.0,37.0,0.384,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,49,0,0.0,37.0,0.52,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,50,0,0.0,37.0,0.364,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,51,0,0.0,37.0,0.351,1.0,0.0
prolific,02hfkd0x4jtnoiwsds69adoq,52,0,1.0,38.0,0.168,0.0,0.0
prolific,02hfkd0x4jtnoiwsds69adoq,53,0,0.0,37.0,0.46,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,54,0,0.0,37.0,0.43,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,55,0,0.0,37.0,0.413,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,56,0,0.0,37.0,0.348,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,57,0,0.0,37.0,0.427,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,58,0,0.0,37.0,0.397,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,59,0,0.0,37.0,0.382,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,60,0,2.0,39.0,0.605,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,61,2,2.0,39.0,0.59,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,62,2,0.0,37.0,0.479,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,63,2,1.0,38.0,0.463,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,64,2,2.0,39.0,0.461,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,65,2,0.0,37.0,0.428,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,66,2,2.0,39.0,0.445,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,67,2,2.0,39.0,0.506,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,68,2,1.0,38.0,0.541,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,69,2,2.0,39.0,0.512,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,70,2,2.0,39.0,0.62,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,71,2,1.0,38.0,0.551,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,72,2,2.0,39.0,0.412,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,73,2,0.0,37.0,0.845,0.0,0.0
prolific,02hfkd0x4jtnoiwsds69adoq,74,2,2.0,39.0,0.591,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,75,2,2.0,39.0,0.588,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,76,0,0.0,37.0,0.366,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,77,0,0.0,37.0,0.459,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,78,0,2.0,39.0,0.606,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,79,0,0.0,37.0,0.35,1.0,0.0
prolific,02hfkd0x4jtnoiwsds69adoq,80,0,0.0,37.0,0.427,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,81,0,2.0,39.0,0.464,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,82,0,0.0,37.0,0.394,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,83,0,0.0,37.0,0.555,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,84,0,0.0,37.0,0.349,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,85,0,0.0,37.0,0.414,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,86,0,0.0,37.0,0.508,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,87,0,0.0,37.0,1.246,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,88,0,0.0,37.0,0.522,1.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,89,0,1.0,38.0,0.492,0.0,1.0
prolific,02hfkd0x4jtnoiwsds69adoq,90,0,0.0,37.0,0.894,1.0,0.0
prolific,0do1x8qmwi6ok206agh1xqwb,1,1,2.0,39.0,1.779,0.0,0.0
prolific,0do1x8qmwi6ok206agh1xqwb,2,1,0.0,37.0,0.459,0.0,0.0
prolific,0do1x8qmwi6ok206agh1xqwb,3,1,1.0,38.0,0.304,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,4,1,1.0,38.0,0.256,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,5,1,1.0,38.0,0.262,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,6,1,1.0,38.0,0.179,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,7,1,1.0,38.0,0.285,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,8,1,1.0,38.0,0.32,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,9,1,1.0,38.0,0.466,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,10,1,1.0,38.0,0.303,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,11,1,1.0,38.0,0.199,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,12,1,1.0,38.0,0.23,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,13,1,1.0,38.0,0.242,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,14,1,1.0,38.0,0.238,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,15,1,1.0,38.0,0.118,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,16,2,1.0,38.0,0.28,0.0,0.0
prolific,0do1x8qmwi6ok206agh1xqwb,17,2,2.0,39.0,0.125,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,18,2,2.0,39.0,0.153,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,19,2,2.0,39.0,0.208,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,20,2,2.0,39.0,0.115,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,21,2,2.0,39.0,0.235,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,22,2,2.0,39.0,0.142,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,23,2,2.0,39.0,0.228,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,24,2,2.0,39.0,0.124,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,25,2,2.0,39.0,0.176,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,26,2,2.0,39.0,0.184,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,27,2,2.0,39.0,0.288,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,28,2,2.0,39.0,0.273,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,29,2,2.0,39.0,0.135,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,30,2,2.0,39.0,0.201,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,31,0,2.0,39.0,0.119,0.0,0.0
prolific,0do1x8qmwi6ok206agh1xqwb,32,0,0.0,37.0,0.152,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,33,0,0.0,37.0,0.267,1.0,0.0
prolific,0do1x8qmwi6ok206agh1xqwb,34,0,2.0,39.0,0.14,0.0,0.0
prolific,0do1x8qmwi6ok206agh1xqwb,35,0,1.0,38.0,0.061,0.0,0.0
prolific,0do1x8qmwi6ok206agh1xqwb,36,0,0.0,37.0,0.13,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,37,0,0.0,37.0,0.179,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,38,0,0.0,37.0,0.303,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,39,0,0.0,37.0,0.014,1.0,0.0
prolific,0do1x8qmwi6ok206agh1xqwb,40,0,0.0,37.0,0.23,1.0,1.0
prolific,0do1x8qmwi6ok206agh1xqwb,41,0,0.0,37.0,0.077,1.0,0.0
prolific,0do1x8qmwi6ok206agh1xqwb,42,0,1.0,38.0,0.01,0.0,0.0
