platform,age,ethnicity,fluency,gender-categorical,gender-free-response,language,minutes,missing,mturk,mturk-this-study,n_loops,race,subject
prolific,21,Not Hispanic or Latino,Very well,Male,,Yes,10.2,0,No,No,1,['Asian'],02hfkd0x4jtnoiwsds69adoq
prolific,50,Not Hispanic or Latino,Very well,Female,,Yes,4.9,0,No,No,1,['Asian'],0do1x8qmwi6ok206agh1xqwb
prolific,26,Not Hispanic or Latino,Very well,Male,,Yes,18.0,0,No,No,1,['White'],0imgqq6qokryvins8vmkeh7v
prolific,22,Not Hispanic or Latino,Well,Male,,No,13.7,0,No,No,1,['Black or African American'],0kw0yjeyfmbqohivbcjol0y4
prolific,22,Not Hispanic or Latino,Very well,Male,,Yes,5.6,0,Yes,No,1,['White'],0tztck6s2pmdsciuznilgj90
prolific,29,Not Hispanic or Latino,Very well,Female,,Yes,6.8,0,No,No,1,['Asian'],0vl2swi8jsl18qhae18l9lfn
prolific,19,Not Hispanic or Latino,Very well,Male,,Yes,18.8,0,No,No,2,['White'],12c8bstpywx1b84b0gh2tof4
prolific,29,Not Hispanic or Latino,Very well,Male,,Yes,5.3,0,No,No,1,['Asian'],1i545xikf02ck7ekr6psckaq
prolific,24,Not Hispanic or Latino,Very well,Male,,Yes,6.9,0,No,No,2,['Asian'],1id28gbzeshkr8a3rjqtu7gm
prolific,75,Not Hispanic or Latino,Very well,Male,,Yes,11.7,0,Yes,No,1,['White'],1sxr2nbpa4aj8f9ggyd14vjn
prolific,61,Not Hispanic or Latino,Very well,Female,,Yes,9.9,0,No,No,1,['White'],1u2wyleqh3t6iqx93tokdv0k
prolific,50,Not Hispanic or Latino,Very well,Female,,Yes,14.1,0,No,No,1,['White'],25fuwx9wj8mwr4avjszslbbx
prolific,28,Not Hispanic or Latino,Very well,Male,,Yes,11.3,1,No,No,2,['White'],2g95z4j2bkkzbjeeh5wex9qe
prolific,29,Rather not say,Very well,Female,,Yes,17.1,0,No,No,1,['Black or African American'],2leyyrsxpwbmugus6n9l7hgm
prolific,27,Not Hispanic or Latino,Very well,Male,,Yes,8.6,0,No,No,1,['Asian'],2sdnu1yjjuxyew3zpe8nwlhb
prolific,24,Not Hispanic or Latino,Very well,Female,,Yes,7.3,0,No,No,1,['White'],354ipv8jxmf3sgg4kl6iwjyg
prolific,29,Not Hispanic or Latino,Very well,Male,,Yes,8.5,0,No,No,1,['Asian'],3qz20dlryiffihwsltdnk6cn
prolific,23,Not Hispanic or Latino,Very well,Female,,Yes,9.3,0,No,No,1,['White'],3yg7loing1p7y2bbmo5b777o
