platform,subject,total,interactions,age,gender-categorical,gender-free-response,ethnicity,race,education
mturk,0045gif7edk9f2xf02awgem7,15.9,1,45,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,06ntcl2kvfi7bvkwh6jkfbim,12.62,1,29,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,0alf8i2e9cadaz5lo47eetnz,38.68,1,67,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,0hmxkgz0256twawpa08920xp,14.93,3,28,Male,,Not Hispanic or Latino,['White'],High school
mturk,0iqpc0511ptbmyjtk64u2bkm,16.97,1,47,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,0l0i5msatotpryxe9dcs8r5l,18.96,1,39,Female,,Not Hispanic or Latino,['White'],High school
mturk,0lt45tglu4s9134zggqigit7,17.53,1,29,Female,,Hispanic or Latino,['White'],Some college
mturk,0mi6uxcj88pskln4f8p4dkqm,17.93,1,45,Male,,Not Hispanic or Latino,['White'],Some college
mturk,0mto4pny0cqh8yhugrfq2f22,17.39,2,49,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,0nmy4z1w8nhd6repxq9g8o8x,19.2,41,23,Male,,Not Hispanic or Latino,['Black or African American'],High school
mturk,0p1csq1dz8ykxa27pjpyp3pa,19.7,3,58,Male,,Not Hispanic or Latino,['White'],Some college
mturk,0tjggx0jyun49pjtlwcgtrh9,16.72,10,33,Male,,Hispanic or Latino,['White'],Bachelor degree
mturk,0wfrmfgryj5nf97gih0ydlbh,25.59,1,35,Male,,Not Hispanic or Latino,['White'],High school
mturk,0x1rufmexx9ekx7grno16lgm,19.86,3,39,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,16qney8vyc6336wz3rvfost2,28.86,3,35,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,1dfxing7uzcljv31e32gw7bx,20.63,5,45,Male,,Not Hispanic or Latino,['White'],Some college
mturk,1hg66hcevxi5a0g3dg3u9ktf,20.21,3,26,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,1jcd8vwkfvisxjhdq01w91u6,21.53,1,70,Female,,Not Hispanic or Latino,['White'],High school
mturk,1ls815kvytlzmq5eu9oedcf9,21.81,4,38,Male,,Not Hispanic or Latino,['Black or African American'],Master degree or higher
mturk,1n1k403aasdmkz2mo30lf191,14.51,10,43,Female,,Not Hispanic or Latino,['Black or African American'],Master degree or higher
mturk,1o2ubz0hvr6m3vp7lovn2lsj,26.79,1,50,Female,,Not Hispanic or Latino,['White'],High school
mturk,1wjfmekjlpimwasxu0rgzo9g,19.08,1,32,Male,,Not Hispanic or Latino,['White'],Some college
mturk,1xag83k9pmul55titc0yn6b5,23.32,33,40,Male,,Hispanic or Latino,['White'],Some college
mturk,1yxwg14w52aubqggx5gdgwep,19.66,2,54,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,23roarl5lmi0mvinzpuf1set,15.06,3,38,Female,,Not Hispanic or Latino,['Asian'],Bachelor degree
mturk,26umv502g01h2zn7nv9vodj3,23.47,1,23,Female,,Not Hispanic or Latino,['White'],Some college
mturk,2afu43wgwak7ijursn68u4fd,16.87,1,37,Male,,Not Hispanic or Latino,['Asian'],Bachelor degree
mturk,2d4fbu9ox76w3ifwsfdb0c2a,18.7,3,39,Male,,Not Hispanic or Latino,['Asian'],Bachelor degree
mturk,2f30zpz2mz0coozy0isyiz5k,18.4,1,37,Female,,Not Hispanic or Latino,['Black or African American'],Some college
mturk,2j8m8w6b2mj1mw6vz6mhtjv3,23.18,2,34,Male,,Not Hispanic or Latino,['Asian'],Master degree or higher
mturk,2vyd0ohyce67zdz760klr57i,17.64,4,43,Male,,Not Hispanic or Latino,['White'],Associate degree
mturk,31n1hq2mauxgnxl0izmsnpmv,16.42,5,30,Male,,Not Hispanic or Latino,['White'],High school
mturk,341ny9ov0p4kuggcmxp557cr,18.28,22,33,Male,,Not Hispanic or Latino,['White'],Some college
mturk,36b1389gkdwjz4a89l6pez8r,17.23,1,37,Male,,Hispanic or Latino,['White'],Bachelor degree
mturk,3a6dyg66j65n70qr1pl9pjd5,19.4,5,49,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,3brtagj6mceqw49h7u53tweo,19.81,3,32,Male,,Not Hispanic or Latino,['White'],Some college
mturk,3cc0axr3z0cygaht0v3yo50s,16.28,21,36,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,3yo7g2nyb1apz1cidqqezdz3,15.33,9,32,Male,,Hispanic or Latino,['White'],Bachelor degree
mturk,41ru6wihpstz8ayui2dvfl3n,15.89,7,33,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,44ozylbx6hh8hloff9wnkddj,32.93,4,30,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,48merez0zsw5pv6n5hyuipoi,16.26,2,28,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,4ba3uiyk5if6c05wgzs1ouk0,27.51,11,20,Male,,Not Hispanic or Latino,['Asian'],High school
mturk,4damne6idlvok1helaxjwf9i,19.21,11,28,Male,,Not Hispanic or Latino,['Rather not say'],Bachelor degree
mturk,4mjnvu0ajydrlp4uvxpkmvjq,22.95,1,71,Female,,Not Hispanic or Latino,['White'],Master degree or higher
mturk,4udxqmvw1zv6yoqtr3a2l10a,15.39,1,36,Female,,Not Hispanic or Latino,['White'],Some college
mturk,53ozqolox83l00y3ie9d8lcj,14.78,3,27,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,53teasevio3ayklsi6z5hy3t,20.39,115,36,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,541udcdxb1s3ttpkgrz54sh4,17.57,5,47,Female,,Not Hispanic or Latino,['White'],Some college
mturk,5b6xqwr3z4t2z1y3sm1u60km,14.2,7,38,Male,,Not Hispanic or Latino,['White'],High school
mturk,5jukimd941zqcryswb1skzpx,22.23,30,32,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,647ruylfxseijknnr8bbm5f2,27.57,1,35,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,6f5rr3zly2ul5t110l5b7xk6,13.62,3,29,Female,,Hispanic or Latino,"['Black or African American', 'White']",High school
mturk,6myrp1y7m42waecwz2iz8d9z,18.32,3,31,Female,,Not Hispanic or Latino,['Asian'],Master degree or higher
mturk,6wrgg0eq7yluo0pm8rgljl2t,21.02,11,38,Male,,Not Hispanic or Latino,"['Asian', 'White']",High school
mturk,6x6ewrf60bie2thzzq2gmfmu,27.71,1,56,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,78p39d3i2kp72ux5yyxn1bte,16.7,3,33,Male,,Not Hispanic or Latino,['White'],Some college
mturk,7azgmo2rh8l9h3appuq8k0o9,26.93,1,44,Male,,Not Hispanic or Latino,['White'],Some college
mturk,7b2sclga9stlmjzmklna3ozk,19.61,1,56,Female,,Not Hispanic or Latino,['White'],Some college
mturk,7jt8n4iselziw5v041bfl58t,16.81,1,35,Male,,Not Hispanic or Latino,['White'],High school
mturk,87od1rx146vvijdu6iubdhsf,28.82,17,50,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,8ehs3ohffbjv8gjqgptt9d1t,20.29,1,46,Female,,Not Hispanic or Latino,['White'],Associate degree
mturk,8h48j37z89ct17rp42osqxge,16.57,14,32,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,8map1iet5ddnonpumqe7o9av,15.47,1,46,Male,,Not Hispanic or Latino,['White'],Some college
